,Open,High,Low,Close
2024-06-13,0.91397,0.91558,0.91056,0.91157
2024-06-12,0.91391,0.91531,0.91247,0.91376
2024-06-09,0.90564,0.90926,0.90500,0.90564
2024-06-06,0.91156,0.91298,0.90469,0.91156
2024-06-05,0.91070,0.91352,0.90875,0.91070
2024-06-04,0.90888,0.91135,0.90810,0.90888
2024-06-03,0.91173,0.91233,0.90760,0.91173
2024-06-02,0.90610,0.91121,0.90510,0.90610
2024-05-30,0.90670,0.90933,0.90520,0.90670
2024-05-29,0.90714,0.90895,0.90490,0.90714
2024-05-28,0.90719,0.90955,0.90570,0.90720
2024-05-27,0.90702,0.90968,0.90650,0.90702
2024-05-26,0.90534,0.90794,0.90500,0.90534
2024-05-23,0.90648,0.90782,0.90520,0.90648
2024-05-22,0.90618,0.90860,0.90540,0.90618
2024-05-21,0.90935,0.91073,0.90676,0.90935
2024-05-20,0.90889,0.91180,0.90680,0.90889
2024-05-19,0.91177,0.91248,0.90760,0.91177
2024-05-16,0.90938,0.91026,0.90650,0.90938
2024-05-15,0.91063,0.91236,0.90728,0.91063
2024-05-14,0.90435,0.90918,0.90400,0.90435
2024-05-13,0.90339,0.90446,0.90070,0.90339
2024-05-12,0.90286,0.90594,0.90110,0.90286
2024-05-09,0.90513,0.90514,0.90130,0.90513
2024-05-08,0.90278,0.90557,0.90160,0.90278
2024-05-07,0.90487,0.90540,0.90140,0.90487
2024-05-06,0.90548,0.90730,0.90137,0.90548
2024-05-05,0.90484,0.90697,0.90370,0.90484
2024-05-02,0.89802,0.90533,0.89720,0.89802
2024-05-01,0.89603,0.89758,0.89469,0.89603
2024-04-30,0.89221,0.89382,0.89070,0.89221
2024-04-29,0.89674,0.89690,0.89180,0.89674
2024-04-28,0.89322,0.89778,0.89260,0.89322
2024-04-25,0.89087,0.89457,0.89000,0.89087
2024-04-24,0.89040,0.89408,0.88960,0.89040
2024-04-23,0.88638,0.89164,0.88600,0.88638
2024-04-22,0.88358,0.88643,0.88273,0.88358
2024-04-21,0.88275,0.88534,0.88210,0.88280
2024-04-18,0.88456,0.88463,0.87826,0.88456
2024-04-17,0.88680,0.88788,0.88430,0.88680
2024-04-16,0.88623,0.88817,0.88540,0.88623
2024-04-15,0.88812,0.88817,0.88414,0.88812
2024-04-14,0.89094,0.89250,0.88790,0.89094
2024-04-11,0.89516,0.89543,0.88968,0.89516
2024-04-10,0.89070,0.89543,0.89016,0.89070
2024-04-09,0.89962,0.89975,0.89042,0.89962
2024-04-08,0.89634,0.90064,0.89580,0.89634
2024-04-07,0.89376,0.89782,0.89270,0.89376
2024-04-04,0.89190,0.89513,0.89055,0.89190
2024-04-03,0.88826,0.89294,0.88760,0.88826
2024-04-02,0.88357,0.88686,0.88250,0.88357
2024-04-01,0.88061,0.88471,0.88020,0.88061
2024-03-31,0.88332,0.88390,0.87990,0.88332
2024-03-28,0.88162,0.88460,0.88100,0.88162
2024-03-27,0.88604,0.88753,0.88150,0.88604
2024-03-26,0.88798,0.88802,0.88520,0.88798
2024-03-25,0.88816,0.88982,0.88650,0.88816
2024-03-24,0.88685,0.88906,0.88620,0.88685
2024-03-21,0.88891,0.88920,0.88340,0.88891
2024-03-20,0.88851,0.89290,0.88780,0.88851
2024-03-19,0.88578,0.88755,0.88500,0.88578
2024-03-18,0.88750,0.88852,0.88279,0.88750
2024-03-17,0.88831,0.88995,0.88770,0.88831
2024-03-14,0.89020,0.89052,0.88670,0.89020
2024-03-13,0.89245,0.89276,0.88887,0.89245
2024-03-12,0.89149,0.89282,0.89060,0.89149
2024-03-11,0.89141,0.89420,0.88960,0.89157
2024-03-10,0.89318,0.89317,0.89069,0.89318
2024-03-07,0.89061,0.89474,0.88982,0.89061
2024-03-06,0.88723,0.89220,0.88700,0.88723
2024-03-05,0.88394,0.88877,0.88250,0.88394
2024-03-04,0.88327,0.88477,0.88040,0.88327
2024-03-03,0.88463,0.88531,0.88340,0.88463
2024-02-29,0.88202,0.88535,0.88169,0.88202
2024-02-28,0.88176,0.88497,0.88110,0.88172
2024-02-27,0.88510,0.88597,0.88050,0.88510
2024-02-26,0.88285,0.88554,0.88150,0.88297
2024-02-25,0.88673,0.88673,0.88280,0.88673
2024-02-22,0.88421,0.88663,0.88398,0.88421
2024-02-21,0.88445,0.88663,0.88260,0.88445
2024-02-20,0.88611,0.88767,0.88330,0.88611
2024-02-19,0.88157,0.88884,0.88070,0.88157
2024-02-18,0.88100,0.88226,0.88050,0.88110
2024-02-15,0.87862,0.88060,0.87690,0.87862
2024-02-14,0.87979,0.88149,0.87737,0.87979
2024-02-13,0.87543,0.87935,0.87460,0.87543
2024-02-12,0.87845,0.87869,0.87382,0.87790
2024-02-11,0.87797,0.87889,0.87660,0.87797
2024-02-08,0.87454,0.87832,0.87290,0.87454
2024-02-07,0.87775,0.87854,0.87260,0.87775
2024-02-06,0.88030,0.88141,0.87800,0.88030
2024-02-05,0.87753,0.88079,0.87690,0.87753
2024-02-04,0.87618,0.87814,0.87460,0.87618
2024-02-01,0.87930,0.88398,0.87570,0.87930
2024-01-31,0.88120,0.88300,0.87567,0.88120
2024-01-30,0.88373,0.88586,0.87980,0.88373
2024-01-29,0.88698,0.88775,0.88325,0.88698
2024-01-28,0.88500,0.88739,0.88420,0.88500
2024-01-25,0.88719,0.88808,0.88510,0.88719
2024-01-24,0.88935,0.89141,0.88754,0.88935
2024-01-23,0.88623,0.89085,0.88450,0.88623
