,Open,High,Low,Close
2024-06-13,0.59576,0.59641,0.59167,0.59293
2024-06-12,0.59565,0.59620,0.59468,0.59541
2024-06-09,0.58989,0.59291,0.58920,0.58989
2024-06-06,0.59338,0.59420,0.58950,0.59338
2024-06-05,0.59403,0.59527,0.59090,0.59403
2024-06-04,0.59152,0.59457,0.59134,0.59152
2024-06-03,0.59876,0.59933,0.59080,0.59876
2024-06-02,0.59987,0.60098,0.59780,0.59987
2024-05-30,0.59892,0.60291,0.59840,0.59892
2024-05-29,0.60386,0.60457,0.59870,0.60386
2024-05-28,0.60646,0.60761,0.60340,0.60652
2024-05-27,0.60778,0.60849,0.60540,0.60778
2024-05-26,0.60520,0.60861,0.60510,0.60520
2024-05-23,0.60357,0.60648,0.60290,0.60357
2024-05-22,0.60575,0.60720,0.60500,0.60575
2024-05-21,0.60751,0.60936,0.60590,0.60751
2024-05-20,0.60719,0.60796,0.60530,0.60719
2024-05-19,0.60898,0.60993,0.60530,0.60898
2024-05-16,0.60534,0.60697,0.60360,0.60534
2024-05-15,0.60339,0.60445,0.60110,0.60339
2024-05-14,0.60067,0.60393,0.59970,0.60067
2024-05-13,0.60025,0.60065,0.59880,0.60025
2024-05-12,0.59828,0.60012,0.59700,0.59828
2024-05-09,0.59947,0.60000,0.59800,0.59947
2024-05-08,0.59717,0.59950,0.59610,0.59717
2024-05-07,0.59874,0.59881,0.59560,0.59874
2024-05-06,0.60052,0.60191,0.59730,0.60052
2024-05-05,0.59873,0.60048,0.59800,0.59873
2024-05-02,0.59783,0.59990,0.59610,0.59783
2024-05-01,0.59859,0.59939,0.59430,0.59859
2024-04-30,0.59549,0.59732,0.59470,0.59549
2024-04-29,0.59756,0.59797,0.59270,0.59756
2024-04-28,0.59765,0.59977,0.59680,0.59765
2024-04-25,0.59522,0.59812,0.59490,0.59522
2024-04-24,0.59413,0.59664,0.59330,0.59413
2024-04-23,0.59150,0.59530,0.59058,0.59150
2024-04-22,0.58826,0.59062,0.58680,0.58826
2024-04-21,0.58546,0.58777,0.58450,0.58490
2024-04-18,0.58615,0.58613,0.57447,0.58615
2024-04-17,0.58637,0.58737,0.58490,0.58637
2024-04-16,0.58521,0.58655,0.58390,0.58521
2024-04-15,0.58736,0.58753,0.58370,0.58736
2024-04-14,0.59170,0.59321,0.58930,0.59170
2024-04-11,0.59506,0.59534,0.58870,0.59506
2024-04-10,0.59409,0.59647,0.59270,0.59409
2024-04-09,0.59854,0.59898,0.59369,0.59854
2024-04-08,0.59777,0.59954,0.59630,0.59777
2024-04-07,0.59336,0.59830,0.59250,0.59336
2024-04-04,0.59391,0.59510,0.59130,0.59391
2024-04-03,0.59305,0.59915,0.59260,0.59305
2024-04-02,0.59135,0.59338,0.59040,0.59135
2024-04-01,0.58718,0.59168,0.58690,0.58718
2024-03-31,0.58890,0.58955,0.58630,0.58890
2024-03-28,0.58712,0.58893,0.58630,0.58712
2024-03-27,0.59068,0.59156,0.58634,0.59068
2024-03-26,0.59085,0.59191,0.58840,0.59085
2024-03-25,0.58809,0.59213,0.58760,0.58809
2024-03-24,0.58485,0.58745,0.58460,0.58485
2024-03-21,0.58940,0.59034,0.58510,0.58940
2024-03-20,0.58428,0.59294,0.58175,0.58428
2024-03-19,0.57987,0.58212,0.57940,0.57987
2024-03-18,0.58202,0.58276,0.57690,0.58202
2024-03-17,0.57942,0.58151,0.57880,0.57942
2024-03-14,0.58180,0.58171,0.57860,0.58180
2024-03-13,0.58215,0.58296,0.58000,0.58215
2024-03-12,0.57972,0.58142,0.57890,0.57972
2024-03-11,0.58028,0.58074,0.57870,0.58030
2024-03-10,0.58124,0.58133,0.57840,0.58124
2024-03-07,0.58083,0.58263,0.58000,0.58083
2024-03-06,0.57923,0.58173,0.57870,0.57923
2024-03-05,0.57466,0.57979,0.57400,0.57466
2024-03-04,0.57613,0.57640,0.57350,0.57613
2024-03-03,0.57660,0.57733,0.57420,0.57660
2024-02-29,0.57479,0.57814,0.57444,0.57479
2024-02-28,0.57069,0.57451,0.57000,0.57054
2024-02-27,0.57517,0.57574,0.57010,0.57517
2024-02-26,0.57545,0.57686,0.57420,0.57542
2024-02-25,0.57840,0.57851,0.57490,0.57853
2024-02-22,0.57722,0.57921,0.57670,0.57722
2024-02-21,0.57617,0.57817,0.57500,0.57617
2024-02-20,0.57791,0.57880,0.57510,0.57791
2024-02-19,0.57648,0.57909,0.57550,0.57648
2024-02-18,0.57567,0.57677,0.57480,0.57572
2024-02-15,0.57415,0.57569,0.57300,0.57415
2024-02-14,0.57528,0.57546,0.57250,0.57528
2024-02-13,0.57271,0.57534,0.57140,0.57271
2024-02-12,0.57191,0.57447,0.57046,0.57187
2024-02-11,0.57035,0.57265,0.56930,0.57035
2024-02-08,0.56757,0.57081,0.56660,0.56757
2024-02-07,0.56999,0.57025,0.56630,0.56999
2024-02-06,0.56740,0.57005,0.56690,0.56740
2024-02-05,0.56418,0.56771,0.56415,0.56418
2024-02-04,0.56396,0.56605,0.56300,0.56396
2024-02-01,0.56390,0.56581,0.56300,0.56390
2024-01-31,0.56579,0.56712,0.56150,0.56579
2024-01-30,0.56832,0.56873,0.56570,0.56832
2024-01-29,0.56965,0.57045,0.56750,0.56965
2024-01-28,0.56843,0.56988,0.56730,0.56843
2024-01-25,0.57070,0.57165,0.56790,0.57070
2024-01-24,0.56748,0.57193,0.56730,0.56748
2024-01-23,0.57278,0.57265,0.56884,0.57278
