,Open,High,Low,Close
2024-06-13,104.45800,104.68600,103.84400,104.20600
2024-06-09,103.22900,103.72900,103.15700,103.22900
2024-06-06,103.83600,103.94900,102.98500,103.83600
2024-06-05,103.74000,103.96800,103.63100,103.74000
2024-06-04,103.09000,103.98600,103.07500,103.09000
2024-06-03,104.40900,104.60400,102.61800,104.40900
2024-06-02,104.60900,104.70300,103.91900,104.60900
2024-05-30,104.05700,104.62300,103.82000,104.05700
2024-05-29,104.22500,104.24700,103.35700,104.22500
2024-05-28,104.54400,104.79500,104.12800,104.53900
2024-05-27,104.38100,104.60700,104.34300,104.38100
2024-05-26,103.90300,104.43700,103.86400,103.90300
2024-05-23,103.61700,104.10800,103.51300,103.61700
2024-05-22,103.72200,104.23300,103.64800,103.72200
2024-05-21,104.16600,104.42100,103.81400,104.16600
2024-05-20,104.32400,104.42100,103.91400,104.32400
2024-05-19,104.35900,104.55600,103.92000,104.35900
2024-05-16,103.81000,104.03500,103.62300,103.81000
2024-05-15,103.37100,103.75100,102.83600,103.37100
2024-05-14,103.66300,104.01400,103.16000,103.66300
2024-05-13,103.27500,103.68500,103.17000,103.27500
2024-05-12,102.84400,103.25200,102.64200,102.84400
2024-05-09,102.83300,103.04000,102.77300,102.83300
2024-05-08,102.21200,102.84900,102.08000,102.21200
2024-05-07,101.96300,102.35000,101.80000,101.96300
2024-05-06,102.15800,102.46000,101.59100,102.15800
2024-05-05,101.48600,102.03700,101.42500,101.48600
2024-05-02,100.56800,101.15900,100.45600,100.56800
2024-05-01,101.70000,102.01500,100.47600,101.70000
2024-04-30,102.13700,102.43800,101.78000,102.13700
2024-04-29,102.55000,102.88300,102.10000,102.55000
2024-04-28,103.49000,104.77600,101.38900,103.49000
2024-04-25,101.49500,102.89500,101.42000,101.49500
2024-04-24,100.86900,101.64600,100.82200,100.86900
2024-04-23,100.40400,101.05000,100.17200,100.40400
2024-04-22,99.84600,100.39400,99.70900,99.84600
2024-04-21,99.35100,99.80500,99.33500,99.36400
2024-04-18,99.32400,99.38900,97.79300,99.32400
2024-04-17,99.38400,99.57300,99.21200,99.38400
2024-04-16,99.19400,99.52700,99.00600,99.19400
2024-04-15,99.33800,99.36200,98.81000,99.33800
2024-04-14,99.25600,100.00300,99.20300,99.25600
2024-04-11,100.18800,100.19200,98.75300,100.18800
2024-04-10,99.52900,100.18300,99.40400,99.52900
2024-04-09,100.59600,100.63000,99.44700,100.59600
2024-04-08,100.28600,100.79300,100.21000,100.28600
2024-04-07,99.65600,100.31400,99.52500,99.65600
2024-04-04,99.66100,99.79900,99.20200,99.66100
2024-04-03,99.55600,100.38700,99.50800,99.55600
2024-04-02,98.71000,99.51700,98.58800,98.71000
2024-04-01,98.33600,98.80500,98.25000,98.33600
2024-03-31,98.89000,98.94500,98.33900,98.89000
2024-03-28,98.63000,98.78400,98.46400,98.63000
2024-03-27,98.63300,98.92200,98.17000,98.63300
2024-03-26,99.07800,99.06900,98.48700,99.07800
2024-03-25,98.96700,99.23900,98.88800,98.96700
2024-03-24,98.58000,99.04100,98.53700,98.58000
2024-03-21,99.64100,99.70100,98.52900,99.64100
2024-03-20,99.45400,100.16100,99.07200,99.45400
2024-03-19,98.56200,99.01600,98.53800,98.56200
2024-03-18,97.80400,98.48000,97.65000,97.80400
2024-03-17,97.67700,98.03900,97.67300,97.67700
2024-03-14,97.56300,97.95000,97.26400,97.56300
2024-03-13,97.83000,97.92800,97.42400,97.83000
2024-03-12,97.52600,97.92600,97.24100,97.52600
2024-03-11,97.04700,97.66900,97.01300,97.06500
2024-03-10,97.22212,97.29300,96.89900,97.22212
2024-03-07,97.90000,98.14200,97.49700,97.90000
2024-03-06,98.00700,98.03000,97.43300,98.00700
2024-03-05,97.57600,98.20500,97.38700,97.57600
2024-03-04,97.90600,97.95200,97.43800,97.90600
2024-03-03,97.98000,98.13900,97.87300,97.98000
2024-02-29,97.53200,98.07700,97.54600,97.53200
2024-02-28,97.83800,97.83800,97.34500,97.82100
2024-02-27,98.47400,98.53200,97.81000,98.47400
2024-02-26,98.45500,98.61100,98.20800,98.44300
2024-02-25,98.77600,98.77600,98.46600,98.79900
2024-02-22,98.70000,99.04600,98.60300,98.70000
2024-02-21,98.53000,99.01600,98.36000,98.53000
2024-02-20,98.26600,98.58800,98.25000,98.26600
2024-02-19,98.13100,98.60300,98.03000,98.13100
2024-02-18,98.14200,98.20700,97.97000,98.12100
2024-02-15,97.84300,98.20100,97.70400,97.84300
2024-02-14,97.82600,97.84300,97.32600,97.82600
2024-02-13,97.26400,97.69200,97.07200,97.26400
2024-02-12,97.54200,97.59300,97.17000,97.54300
2024-02-11,97.32400,97.64900,97.13000,97.32400
2024-02-08,96.98400,97.45000,96.39300,96.98400
2024-02-07,96.56500,97.02700,96.54700,96.56500
2024-02-06,96.47000,96.78000,96.43800,96.47000
2024-02-05,96.31800,96.78400,96.28200,96.31800
2024-02-04,96.59600,96.72400,96.08500,96.59600
2024-02-01,96.28600,96.91600,96.26700,96.28600
2024-01-31,96.44500,96.58500,95.50600,96.44500
2024-01-30,97.18000,97.37200,96.45100,97.18000
2024-01-29,97.53000,97.58000,96.92800,97.53000
2024-01-28,97.44100,97.69500,97.30700,97.44100
2024-01-25,97.23700,97.65400,97.12800,97.23700
2024-01-24,97.03300,97.32500,96.91200,97.03300
2024-01-23,97.59400,97.54200,96.91000,97.59400
