,Open,High,Low,Close
2024-06-13,1.07682,1.07825,1.07476,1.07585
2024-06-12,1.07697,1.07757,1.07628,1.07726
2024-06-09,1.07798,1.07971,1.07710,1.07798
2024-06-06,1.07621,1.07813,1.07365,1.07621
2024-06-05,1.07404,1.07559,1.07199,1.07404
2024-06-04,1.07634,1.07729,1.07290,1.07634
2024-06-03,1.07920,1.08092,1.07020,1.07920
2024-06-02,1.08248,1.08250,1.07743,1.08248
2024-05-30,1.08401,1.08469,1.08027,1.08401
2024-05-29,1.08171,1.08465,1.08060,1.08171
2024-05-28,1.08256,1.08489,1.08050,1.08260
2024-05-27,1.08175,1.08293,1.07960,1.08175
2024-05-26,1.08200,1.08301,1.08050,1.08200
2024-05-23,1.08267,1.08360,1.08080,1.08267
2024-05-22,1.08506,1.08507,1.07933,1.08506
2024-05-21,1.09403,1.09408,1.08550,1.09403
2024-05-20,1.09229,1.09412,1.09010,1.09229
2024-05-19,1.09186,1.09434,1.09090,1.09186
2024-05-16,1.09098,1.09218,1.08830,1.09098
2024-05-15,1.09295,1.09394,1.09030,1.09295
2024-05-14,1.09610,1.09763,1.09354,1.09610
2024-05-13,1.09751,1.09882,1.09540,1.09751
2024-05-12,1.09669,1.09968,1.09510,1.09669
2024-05-09,1.09530,1.09897,1.09520,1.09530
2024-05-08,1.09537,1.09788,1.09430,1.09537
2024-05-07,1.09873,1.09877,1.09460,1.09873
2024-05-06,1.10219,1.10277,1.09700,1.10219
2024-05-05,1.10027,1.10263,1.09920,1.10027
2024-05-02,1.10170,1.10227,1.09598,1.10170
2024-05-01,1.10152,1.10277,1.09700,1.10152
2024-04-30,1.10150,1.10149,1.09578,1.10150
2024-04-29,1.09880,1.09984,1.09353,1.09880
2024-04-28,1.09977,1.10136,1.09760,1.09977
2024-04-25,1.09474,1.09938,1.09320,1.09474
2024-04-24,1.09450,1.09587,1.09320,1.09450
2024-04-23,1.09296,1.09823,1.09170,1.09296
2024-04-22,1.08950,1.09187,1.08930,1.08950
2024-04-21,1.08904,1.09049,1.08690,1.08904
2024-04-18,1.08826,1.08974,1.08560,1.08826
2024-04-17,1.08902,1.08927,1.08590,1.08902
2024-04-16,1.08835,1.08906,1.08510,1.08835
2024-04-15,1.09127,1.09166,1.08760,1.09127
2024-04-14,1.08913,1.09196,1.08840,1.08913
2024-04-11,1.08989,1.09045,1.08740,1.08989
2024-04-10,1.08912,1.09086,1.08410,1.08912
2024-04-09,1.09233,1.09347,1.08740,1.09233
2024-04-08,1.09458,1.09469,1.09200,1.09458
2024-04-07,1.09417,1.09506,1.09210,1.09417
2024-04-04,1.09291,1.09474,1.09110,1.09291
2024-04-03,1.09204,1.09558,1.09040,1.09204
2024-04-02,1.09121,1.09364,1.08793,1.09121
2024-04-01,1.08993,1.09268,1.08940,1.08993
2024-03-31,1.09122,1.09169,1.08275,1.09122
2024-03-28,1.09017,1.09135,1.08820,1.09017
2024-03-27,1.08836,1.09075,1.08578,1.08836
2024-03-26,1.08837,1.08866,1.08540,1.08837
2024-03-25,1.08945,1.09014,1.08620,1.08945
2024-03-24,1.08767,1.08953,1.08620,1.08767
2024-03-21,1.08600,1.08725,1.08310,1.08600
2024-03-20,1.08344,1.08754,1.08166,1.08344
2024-03-19,1.07889,1.08194,1.07810,1.07889
2024-03-18,1.07807,1.07930,1.07473,1.07807
2024-03-17,1.07732,1.07863,1.07590,1.07732
2024-03-14,1.07422,1.07860,1.07340,1.07422
2024-03-13,1.07502,1.07528,1.07174,1.07502
2024-03-12,1.07445,1.07562,1.07150,1.07445
2024-03-11,1.07195,1.07394,1.07050,1.07201
2024-03-10,1.07194,1.07231,1.06910,1.07194
2024-03-07,1.07157,1.07463,1.07060,1.07157
2024-03-06,1.07151,1.07289,1.06940,1.07151
2024-03-05,1.06836,1.07182,1.06790,1.06836
2024-03-04,1.06741,1.06865,1.06489,1.06741
2024-03-03,1.06942,1.06994,1.06710,1.06942
2024-02-29,1.06776,1.06959,1.06590,1.06776
2024-02-28,1.06520,1.06949,1.06490,1.06524
2024-02-27,1.06054,1.06854,1.05933,1.06054
2024-02-26,1.06033,1.06297,1.05960,1.05950
2024-02-25,1.06112,1.06321,1.05810,1.06111
2024-02-22,1.05870,1.06050,1.05730,1.05870
2024-02-21,1.06032,1.06098,1.05508,1.06032
2024-02-20,1.06254,1.06261,1.05850,1.06254
2024-02-19,1.06313,1.06477,1.06130,1.06313
2024-02-18,1.06551,1.06656,1.06270,1.06538
2024-02-15,1.06690,1.07020,1.06491,1.06690
2024-02-14,1.06694,1.06771,1.06380,1.06694
2024-02-13,1.06530,1.06629,1.06290,1.06530
2024-02-12,1.06548,1.06917,1.06420,1.06534
2024-02-11,1.06132,1.06555,1.06100,1.06132
2024-02-08,1.06385,1.06376,1.05810,1.06385
2024-02-07,1.06717,1.06755,1.06410,1.06717
2024-02-06,1.07029,1.07135,1.06560,1.07029
2024-02-05,1.07051,1.07368,1.06912,1.07051
2024-02-04,1.07260,1.07359,1.07028,1.07260
2024-02-01,1.07018,1.07396,1.06816,1.07018
2024-01-31,1.07351,1.07419,1.06792,1.07351
2024-01-30,1.07546,1.07585,1.07162,1.07546
2024-01-29,1.07806,1.07868,1.06777,1.07806
2024-01-28,1.07963,1.08109,1.07780,1.07963
2024-01-25,1.07758,1.08031,1.07700,1.07758
2024-01-24,1.07644,1.07804,1.07251,1.07644
2024-01-23,1.07903,1.07945,1.07470,1.07903
