,Open,High,Low,Close
2024-06-13,0.66606,0.66752,0.66256,0.66350
2024-06-12,0.66659,0.66689,0.66595,0.66618
2024-06-09,0.65827,0.66110,0.65765,0.65827
2024-06-06,0.66696,0.66818,0.65815,0.66696
2024-06-05,0.66578,0.66834,0.66339,0.66578
2024-06-04,0.66462,0.66660,0.66269,0.66462
2024-06-03,0.66901,0.66987,0.66317,0.66901
2024-06-02,0.66569,0.66942,0.66333,0.66569
2024-05-30,0.66303,0.66760,0.66279,0.66303
2024-05-29,0.66137,0.66489,0.65912,0.66137
2024-05-28,0.66480,0.66630,0.66153,0.66480
2024-05-27,0.66556,0.66800,0.66534,0.66556
2024-05-26,0.66240,0.66620,0.66231,0.66240
2024-05-23,0.66015,0.66361,0.65932,0.66015
2024-05-22,0.66192,0.66586,0.66159,0.66192
2024-05-21,0.66671,0.66849,0.66333,0.66671
2024-05-20,0.66721,0.66800,0.66474,0.66721
2024-05-19,0.67007,0.67110,0.66628,0.67007
2024-05-16,0.66831,0.66915,0.66489,0.66831
2024-05-15,0.67011,0.67147,0.66547,0.67011
2024-05-14,0.66260,0.66867,0.66242,0.66260
2024-05-13,0.66129,0.66291,0.65930,0.66129
2024-05-12,0.66010,0.66309,0.65863,0.66010
2024-05-09,0.66210,0.66271,0.65968,0.66210
2024-05-08,0.65768,0.66121,0.65659,0.65768
2024-05-07,0.65892,0.65941,0.65586,0.65892
2024-05-06,0.66239,0.66420,0.65872,0.66239
2024-05-05,0.66091,0.66380,0.66058,0.66091
2024-05-02,0.65714,0.66509,0.65650,0.65714
2024-05-01,0.65319,0.65481,0.65166,0.65319
2024-04-30,0.64780,0.64973,0.64664,0.64780
2024-04-29,0.65619,0.65660,0.64868,0.65619
2024-04-28,0.65414,0.65872,0.65370,0.65414
2024-04-25,0.65232,0.65548,0.65180,0.65232
2024-04-24,0.64970,0.65360,0.64864,0.64970
2024-04-23,0.64889,0.65290,0.64835,0.64889
2024-04-22,0.64529,0.64910,0.64413,0.64529
2024-04-21,0.64256,0.64549,0.64251,0.64260
2024-04-18,0.64247,0.64318,0.63656,0.64247
2024-04-17,0.64398,0.64580,0.64265,0.64398
2024-04-16,0.64128,0.64380,0.64039,0.64128
2024-04-15,0.64425,0.64427,0.63980,0.64425
2024-04-14,0.64758,0.64952,0.64544,0.64758
2024-04-11,0.65406,0.65430,0.64647,0.65406
2024-04-10,0.65072,0.65527,0.65028,0.65072
2024-04-09,0.66285,0.66340,0.65067,0.66285
2024-04-08,0.66050,0.66437,0.65991,0.66050
2024-04-07,0.65702,0.66120,0.65603,0.65702
2024-04-04,0.65877,0.65941,0.65502,0.65877
2024-04-03,0.65690,0.66190,0.65658,0.65690
2024-04-02,0.65144,0.65620,0.65037,0.65144
2024-04-01,0.64879,0.65232,0.64855,0.64879
2024-03-31,0.65330,0.65400,0.64811,0.65330
2024-03-28,0.65168,0.65354,0.65093,0.65168
2024-03-27,0.65220,0.65420,0.64860,0.65220
2024-03-26,0.65390,0.65390,0.65129,0.65390
2024-03-25,0.65389,0.65610,0.65319,0.65389
2024-03-24,0.65158,0.65480,0.65109,0.65158
2024-03-21,0.65742,0.65781,0.65110,0.65742
2024-03-20,0.65978,0.66344,0.65623,0.65978
2024-03-19,0.65264,0.65419,0.65119,0.65264
2024-03-18,0.65575,0.65705,0.65044,0.65575
2024-03-17,0.65580,0.65750,0.65547,0.65580
2024-03-14,0.65793,0.65791,0.65533,0.65793
2024-03-13,0.66276,0.66314,0.65719,0.66276
2024-03-12,0.66073,0.66270,0.66005,0.66073
2024-03-11,0.66155,0.66367,0.65859,0.66155
2024-03-10,0.66243,0.66291,0.65972,0.66243
2024-03-07,0.66213,0.66666,0.66146,0.66213
2024-03-06,0.65663,0.66251,0.65647,0.65663
2024-03-05,0.65039,0.65806,0.64931,0.65039
2024-03-04,0.65076,0.65210,0.64794,0.65076
2024-03-03,0.65279,0.65370,0.65110,0.65279
2024-02-29,0.64984,0.65333,0.64909,0.64984
2024-02-28,0.64947,0.65302,0.64873,0.64947
2024-02-27,0.65439,0.65510,0.64900,0.65439
2024-02-26,0.65396,0.65661,0.65264,0.65396
2024-02-25,0.65639,0.65645,0.65335,0.65654
2024-02-22,0.65591,0.65830,0.65516,0.65591
2024-02-21,0.65532,0.65953,0.65411,0.65532
2024-02-20,0.65535,0.65742,0.65405,0.65535
2024-02-19,0.65308,0.65781,0.65224,0.65308
2024-02-18,0.65374,0.65510,0.65340,0.65379
2024-02-15,0.65255,0.65352,0.64986,0.65255
2024-02-14,0.64988,0.65291,0.64785,0.64988
2024-02-13,0.64534,0.64910,0.64471,0.64534
2024-02-12,0.65289,0.65334,0.64541,0.65289
2024-02-11,0.65256,0.65379,0.65133,0.65256
2024-02-08,0.64976,0.65320,0.64876,0.64976
2024-02-07,0.65219,0.65340,0.64815,0.65219
2024-02-06,0.65297,0.65411,0.65172,0.65297
2024-02-05,0.64803,0.65202,0.64804,0.64803
2024-02-04,0.65051,0.65202,0.64699,0.65051
2024-02-01,0.65749,0.66101,0.65073,0.65749
2024-01-31,0.65615,0.65789,0.65096,0.65615
2024-01-30,0.65948,0.66219,0.65596,0.65948
2024-01-29,0.66142,0.66245,0.65761,0.66142
2024-01-28,0.65786,0.66060,0.65746,0.65786
2024-01-25,0.65859,0.66092,0.65770,0.65859
2024-01-24,0.65767,0.66096,0.65667,0.65767
2024-01-23,0.65863,0.66202,0.65663,0.65863
