,Open,High,Low,Close
2024-06-13,0.65146,0.65231,0.64865,0.65040
2024-06-12,0.65222,0.65302,0.64812,0.65146
2024-06-11,0.65046,0.65300,0.64985,0.65221
2024-06-10,0.65113,0.65261,0.64980,0.65047
2024-06-07,0.65035,0.65359,0.64893,0.65039
2024-06-06,0.65208,0.65247,0.64955,0.65033
2024-06-05,0.65040,0.65312,0.64977,0.65230
2024-06-04,0.65701,0.65720,0.64885,0.65047
2024-06-03,0.66156,0.66223,0.65501,0.65702
2024-05-31,0.66013,0.66480,0.65893,0.66145
2024-05-30,0.66548,0.66630,0.65933,0.66013
2024-05-29,0.66822,0.66862,0.66488,0.66540
2024-05-28,0.66982,0.67024,0.66631,0.66822
2024-05-27,0.66822,0.67054,0.66815,0.66987
2024-05-24,0.66561,0.66996,0.66503,0.66859
2024-05-23,0.66846,0.66900,0.66486,0.66583
2024-05-22,0.66770,0.66996,0.66680,0.66840
2024-05-21,0.66777,0.66842,0.66521,0.66769
2024-05-20,0.66763,0.66860,0.66615,0.66791
2024-05-17,0.66530,0.66790,0.66460,0.66729
2024-05-16,0.66286,0.66559,0.66014,0.66512
2024-05-15,0.66389,0.66443,0.66170,0.66285
2024-05-14,0.66408,0.66530,0.66272,0.66377
2024-05-13,0.66204,0.66480,0.66104,0.66408
2024-05-10,0.66203,0.66539,0.66134,0.66244
2024-05-09,0.66123,0.66290,0.66049,0.66204
2024-05-08,0.66165,0.66202,0.65938,0.66121
2024-05-07,0.66264,0.66384,0.66058,0.66156
2024-05-06,0.66072,0.66344,0.66031,0.66278
2024-05-03,0.66557,0.66600,0.66014,0.66046
2024-05-02,0.66644,0.66824,0.66314,0.66558
2024-05-01,0.66704,0.66936,0.66521,0.66695
2024-04-30,0.66595,0.66810,0.66397,0.66703
2024-04-29,0.66759,0.67030,0.66510,0.66597
2024-04-26,0.66774,0.66930,0.66668,0.66795
2024-04-25,0.66744,0.66824,0.66565,0.66771
2024-04-24,0.66664,0.66864,0.66436,0.66734
2024-04-23,0.66547,0.66750,0.66397,0.66695
2024-04-22,0.66141,0.66573,0.66113,0.66555
2024-04-19,0.66246,0.66300,0.65280,0.66129
2024-04-18,0.66123,0.66324,0.65955,0.66248
2024-04-17,0.65975,0.66160,0.65814,0.66102
2024-04-16,0.66094,0.66253,0.65851,0.65984
2024-04-15,0.66234,0.66563,0.66032,0.66102
2024-04-12,0.66431,0.66526,0.66093,0.66318
2024-04-11,0.66689,0.66829,0.66317,0.66434
2024-04-10,0.66499,0.66845,0.66459,0.66689
2024-04-09,0.66660,0.66730,0.66374,0.66531
2024-04-08,0.66312,0.66730,0.66274,0.66674
2024-04-05,0.66552,0.66749,0.66120,0.66312
2024-04-04,0.66712,0.67211,0.66416,0.66553
2024-04-03,0.66887,0.67072,0.66662,0.66727
2024-04-02,0.66592,0.67040,0.66539,0.66894
2024-04-01,0.66473,0.66720,0.66434,0.66593
2024-03-29,0.66609,0.66656,0.66403,0.66520
2024-03-28,0.66587,0.66694,0.66411,0.66610
2024-03-27,0.66507,0.66756,0.66391,0.66588
2024-03-26,0.66176,0.66708,0.66121,0.66510
2024-03-25,0.65900,0.66211,0.65841,0.66166
2024-03-22,0.66311,0.66461,0.65829,0.65880
2024-03-21,0.65691,0.66547,0.65560,0.66318
2024-03-20,0.65431,0.65823,0.65364,0.65694
2024-03-19,0.65559,0.65620,0.65103,0.65437
2024-03-18,0.65168,0.65640,0.65081,0.65558
2024-03-15,0.65263,0.65383,0.65100,0.65210
2024-03-14,0.65206,0.65368,0.65134,0.65271
2024-03-13,0.64980,0.65253,0.64936,0.65215
2024-03-12,0.65050,0.65142,0.64849,0.64980
2024-03-11,0.65020,0.65156,0.64889,0.65054
2024-03-08,0.65195,0.65280,0.64935,0.65063
2024-03-07,0.65262,0.65290,0.65056,0.65212
2024-03-06,0.64986,0.65312,0.64868,0.65265
2024-03-05,0.65170,0.65260,0.64882,0.64986
2024-03-04,0.65173,0.65293,0.64875,0.65188
2024-03-01,0.65117,0.65393,0.65053,0.65107
2024-02-29,0.64698,0.65180,0.64555,0.65129
2024-02-28,0.64923,0.65029,0.64639,0.64723
2024-02-27,0.65153,0.65253,0.64865,0.64943
2024-02-26,0.65171,0.65265,0.64949,0.65148
2024-02-23,0.65261,0.65360,0.65107,0.65175
2024-02-22,0.65114,0.65360,0.64973,0.65278
2024-02-21,0.65193,0.65240,0.64969,0.65123
2024-02-20,0.65388,0.65453,0.64956,0.65207
2024-02-19,0.65309,0.65440,0.65174,0.65339
2024-02-16,0.65336,0.65464,0.65208,0.65256
2024-02-15,0.65378,0.65413,0.65036,0.65349
2024-02-14,0.65393,0.65585,0.65229,0.65388
2024-02-13,0.65096,0.65589,0.64974,0.65370
2024-02-12,0.64880,0.65195,0.64799,0.65096
2024-02-09,0.64894,0.65186,0.64787,0.64950
2024-02-08,0.64907,0.65030,0.64719,0.64913
2024-02-07,0.64463,0.64971,0.64362,0.64913
2024-02-06,0.64269,0.64585,0.64193,0.64463
2024-02-05,0.64340,0.64543,0.64117,0.64298
2024-02-02,0.64058,0.64480,0.63879,0.64348
2024-02-01,0.64092,0.64283,0.63954,0.64078
2024-01-31,0.64287,0.64383,0.63880,0.64108
2024-01-30,0.64189,0.64450,0.64087,0.64318
2024-01-29,0.64149,0.64303,0.63996,0.64203
2024-01-26,0.64318,0.64433,0.64021,0.64153
