,Open,High,Low,Close
2024-06-13,114.28400,114.53900,113.88400,114.30100
2024-06-11,114.21500,114.49000,113.73000,114.21500
2024-06-10,114.08000,114.34700,113.87400,114.08000
2024-06-09,113.97800,114.19500,113.77600,113.97800
2024-06-06,113.90400,114.37700,113.44000,113.90400
2024-06-05,113.90200,114.23100,113.68400,113.90200
2024-06-04,113.42000,114.28700,113.41100,113.42000
2024-06-03,114.50000,114.79100,112.96700,114.50000
2024-06-02,115.40400,115.53700,114.45000,115.40400
2024-05-30,114.69600,115.34500,114.43700,114.69600
2024-05-29,114.89000,114.90500,114.08000,114.89000
2024-05-28,115.21000,115.27500,114.84000,115.21000
2024-05-27,115.07400,115.20800,114.93800,115.07400
2024-05-26,114.75900,115.06000,114.64000,114.75900
2024-05-23,114.30000,114.89400,114.24200,114.30000
2024-05-22,114.46700,114.86900,114.39200,114.46700
2024-05-21,114.54300,114.65800,114.39600,114.54300
2024-05-20,114.77400,114.82100,114.18200,114.77400
2024-05-19,114.45000,114.82000,114.20900,114.45000
2024-05-16,114.10000,114.44100,114.09000,114.10000
2024-05-15,113.46000,114.10200,112.95400,113.46000
2024-05-14,114.61900,114.69800,113.80000,114.61900
2024-05-13,114.29000,114.78800,114.28000,114.29000
2024-05-12,113.91900,114.21200,113.72600,113.91900
2024-05-09,113.60400,114.17700,113.60500,113.60400
2024-05-08,113.21100,113.74500,113.07500,113.21100
2024-05-07,112.67500,113.41600,112.63400,112.67500
2024-05-06,112.81800,113.06200,112.52400,112.81800
2024-05-05,112.15300,112.76400,112.03200,112.15300
2024-05-02,111.98500,112.23800,111.58600,111.98500
2024-05-01,113.45700,113.79500,112.07200,113.45700
2024-04-30,114.48800,114.72200,114.42000,114.48800
2024-04-29,114.36900,114.83600,114.26300,114.36900
2024-04-28,115.85400,117.07000,113.17500,115.85400
2024-04-25,113.92100,115.25000,113.66800,113.92100
2024-04-24,113.29700,113.87300,113.25600,113.29700
2024-04-23,113.26600,113.37100,112.86800,113.26600
2024-04-22,112.99200,113.30800,112.87000,112.99200
2024-04-21,112.54200,112.85300,112.52100,112.54800
2024-04-18,112.26000,112.62100,111.29100,112.26000
2024-04-17,112.06900,112.45100,111.92700,112.06900
2024-04-16,111.93700,112.20800,111.69500,111.93700
2024-04-15,111.84900,112.25200,111.55700,111.84900
2024-04-14,111.39800,112.41100,111.36800,111.39800
2024-04-11,111.91800,111.95500,110.88500,111.91800
2024-04-10,111.73500,112.03000,111.62000,111.73500
2024-04-09,111.81800,111.98500,111.56500,111.81800
2024-04-08,111.88600,111.98300,111.49400,111.88600
2024-04-07,111.49500,111.86200,111.39000,111.49500
2024-04-04,111.69500,111.74100,111.10000,111.69500
2024-04-03,112.08200,112.47700,112.05200,112.08200
2024-04-02,111.71600,112.31100,111.61000,111.71600
2024-04-01,111.66400,111.88000,111.52500,111.66400
2024-03-31,111.95700,111.96400,111.59500,111.95700
2024-03-28,111.86200,111.89100,111.60000,111.86200
2024-03-27,111.34900,111.84200,111.20700,111.34900
2024-03-26,111.50600,111.67600,111.05400,111.50600
2024-03-25,111.42700,111.73000,111.30000,111.42700
2024-03-24,111.15400,111.50100,111.09600,111.15400
2024-03-21,112.09300,112.15600,111.16900,112.09300
2024-03-20,111.90500,112.27700,111.60700,111.90500
2024-03-19,111.26900,111.81300,111.24300,111.26900
2024-03-18,110.18400,111.00800,110.12700,110.18400
2024-03-17,109.95400,110.37700,109.94000,109.95400
2024-03-14,109.54000,110.28500,109.37300,109.54000
2024-03-13,109.61600,109.80000,109.47300,109.61600
2024-03-12,109.39800,109.83700,109.13400,109.39800
2024-03-11,108.86600,109.59100,108.80700,108.86400
2024-03-10,108.83800,109.08300,108.68000,108.83800
2024-03-07,109.90400,110.07400,108.91300,109.90400
2024-03-06,110.45800,110.46100,109.38600,110.45800
2024-03-05,110.40300,110.61000,109.94000,110.40300
2024-03-04,110.84200,110.88200,110.42800,110.84200
2024-03-03,110.75300,110.98200,110.59000,110.75300
2024-02-29,110.57200,110.95400,110.59900,110.57200
2024-02-28,110.95800,110.95800,110.14700,110.94400
2024-02-27,111.20900,111.23000,110.77600,111.20900
2024-02-26,111.50500,111.51900,111.17000,111.48400
2024-02-25,111.38600,111.60300,111.19600,111.41300
2024-02-22,111.61500,111.79600,111.22000,111.61500
2024-02-21,111.39200,111.71900,111.39000,111.39200
2024-02-20,110.88900,111.29651,110.85000,110.88900
2024-02-19,111.30300,111.43400,110.69200,111.30300
2024-02-18,111.39328,111.39328,111.19000,111.35500
2024-02-15,111.34700,111.60800,111.32300,111.34700
2024-02-14,111.18800,111.30500,110.70200,111.18800
2024-02-13,111.09900,111.33300,110.92400,111.09900
2024-02-12,111.02700,111.36500,110.85900,111.04000
2024-02-11,110.83500,111.18600,110.57700,110.83500
2024-02-08,110.88500,111.19100,110.80300,110.88500
2024-02-07,109.98400,110.99700,109.91900,109.98400
2024-02-06,109.55000,110.14000,109.57000,109.55000
2024-02-05,109.74900,109.94100,109.45700,109.74900
2024-02-04,110.24000,110.35900,109.73800,110.24000
2024-02-01,109.41700,110.37100,109.33700,109.41700
2024-01-31,109.40100,109.50200,108.81700,109.40100
2024-01-30,109.95000,110.20600,109.16100,109.95000
2024-01-29,109.95000,110.16800,109.53900,109.95000
2024-01-28,110.10435,110.21800,109.71000,110.10435
2024-01-25,109.59400,110.20500,109.47600,109.59400
