,Open,High,Low,Close
2024-06-13,0.84504,0.84580,0.84121,0.84134
2024-06-12,0.84432,0.84516,0.84415,0.84499
2024-06-09,0.84673,0.84712,0.84394,0.84673
2024-06-06,0.85139,0.85200,0.84910,0.85139
2024-06-05,0.84989,0.85240,0.84931,0.84989
2024-06-04,0.85195,0.85201,0.85030,0.85195
2024-06-03,0.85140,0.85244,0.85060,0.85140
2024-06-02,0.85153,0.85352,0.85090,0.85153
2024-05-30,0.85088,0.85403,0.85000,0.85088
2024-05-29,0.85065,0.85166,0.84999,0.85065
2024-05-28,0.85054,0.85160,0.84837,0.85054
2024-05-27,0.85029,0.85180,0.84950,0.85029
2024-05-26,0.85170,0.85195,0.84950,0.85170
2024-05-23,0.85172,0.85315,0.85110,0.85172
2024-05-22,0.85096,0.85268,0.85003,0.85096
2024-05-21,0.85394,0.85405,0.85030,0.85394
2024-05-20,0.85444,0.85506,0.85320,0.85444
2024-05-19,0.85567,0.85676,0.85467,0.85567
2024-05-16,0.85761,0.85801,0.85540,0.85761
2024-05-15,0.85799,0.85859,0.85730,0.85799
2024-05-14,0.85928,0.85997,0.85699,0.85928
2024-05-13,0.85920,0.86140,0.85847,0.85920
2024-05-12,0.86003,0.86090,0.85930,0.86003
2024-05-09,0.86078,0.86110,0.85948,0.86078
2024-05-08,0.86016,0.86187,0.85909,0.86016
2024-05-07,0.85992,0.86180,0.85976,0.85992
2024-05-06,0.85727,0.85938,0.85706,0.85727
2024-05-05,0.85780,0.85808,0.85560,0.85780
2024-05-02,0.85551,0.85851,0.85500,0.85551
2024-05-01,0.85474,0.85645,0.85438,0.85474
2024-04-30,0.85397,0.85577,0.85364,0.85397
2024-04-29,0.85314,0.85546,0.85299,0.85314
2024-04-28,0.85590,0.85598,0.85360,0.85590
2024-04-25,0.85760,0.85833,0.85593,0.85760
2024-04-24,0.85871,0.85920,0.85625,0.85871
2024-04-23,0.85942,0.86000,0.85880,0.85942
2024-04-22,0.86260,0.86432,0.85945,0.86260
2024-04-21,0.86113,0.86427,0.86080,0.86120
2024-04-18,0.85582,0.85950,0.85491,0.85582
2024-04-17,0.85669,0.85720,0.85499,0.85669
2024-04-16,0.85440,0.85540,0.85209,0.85440
2024-04-15,0.85362,0.85478,0.85281,0.85362
2024-04-14,0.85440,0.85520,0.85270,0.85440
2024-04-11,0.85434,0.85512,0.85280,0.85434
2024-04-10,0.85680,0.85687,0.85420,0.85680
2024-04-09,0.85644,0.85659,0.85479,0.85644
2024-04-08,0.85806,0.85820,0.85613,0.85806
2024-04-07,0.85782,0.85839,0.85730,0.85782
2024-04-04,0.85720,0.85856,0.85695,0.85720
2024-04-03,0.85664,0.85820,0.85630,0.85664
2024-04-02,0.85618,0.85820,0.85560,0.85618
2024-04-01,0.85574,0.85747,0.85400,0.85574
2024-03-31,0.85401,0.85573,0.85384,0.85401
2024-03-28,0.85479,0.85540,0.85299,0.85479
2024-03-27,0.85698,0.85710,0.85459,0.85698
2024-03-26,0.85780,0.85850,0.85640,0.85780
2024-03-25,0.85757,0.85876,0.85696,0.85757
2024-03-24,0.85785,0.85844,0.85653,0.85785
2024-03-21,0.85780,0.86020,0.85664,0.85780
2024-03-20,0.85441,0.85788,0.85290,0.85441
2024-03-19,0.85401,0.85498,0.85350,0.85401
2024-03-18,0.85422,0.85557,0.85399,0.85422
2024-03-17,0.85476,0.85621,0.85460,0.85476
2024-03-14,0.85385,0.85472,0.85360,0.85385
2024-03-13,0.85555,0.85565,0.85348,0.85555
2024-03-12,0.85392,0.85530,0.85370,0.85392
2024-03-11,0.85261,0.85538,0.85250,0.85261
2024-03-10,0.85123,0.85337,0.85080,0.85123
2024-03-07,0.85445,0.85480,0.85040,0.85445
2024-03-06,0.85578,0.85628,0.85230,0.85578
2024-03-05,0.85444,0.85620,0.85400,0.85444
2024-03-04,0.85529,0.85602,0.85370,0.85529
2024-03-03,0.85638,0.85660,0.85510,0.85638
2024-02-29,0.85575,0.85760,0.85540,0.85575
2024-02-28,0.85590,0.85697,0.85500,0.85602
2024-02-27,0.85481,0.85650,0.85460,0.85481
2024-02-26,0.85520,0.85666,0.85490,0.85534
2024-02-25,0.85385,0.85600,0.85369,0.85377
2024-02-22,0.85482,0.85520,0.85282,0.85482
2024-02-21,0.85613,0.85719,0.85486,0.85613
2024-02-20,0.85617,0.85705,0.85560,0.85617
2024-02-19,0.85600,0.85780,0.85461,0.85600
2024-02-18,0.85511,0.85576,0.85370,0.85516
2024-02-15,0.85510,0.85640,0.85422,0.85510
2024-02-14,0.85386,0.85695,0.85201,0.85386
2024-02-13,0.85041,0.85483,0.84951,0.85041
2024-02-12,0.85303,0.85350,0.85000,0.85296
2024-02-11,0.85444,0.85463,0.85270,0.85444
2024-02-08,0.85389,0.85468,0.85320,0.85389
2024-02-07,0.85302,0.85444,0.85286,0.85302
2024-02-06,0.85333,0.85400,0.85161,0.85333
2024-02-05,0.85694,0.85700,0.85360,0.85694
2024-02-04,0.85405,0.85683,0.85290,0.85405
2024-02-01,0.85307,0.85460,0.85207,0.85307
2024-01-31,0.85210,0.85577,0.85197,0.85210
2024-01-30,0.85403,0.85475,0.85236,0.85403
2024-01-29,0.85210,0.85670,0.85160,0.85210
2024-01-28,0.85392,0.85420,0.85130,0.85392
2024-01-25,0.85350,0.85439,0.85250,0.85350
2024-01-24,0.85552,0.85637,0.85204,0.85552
2024-01-23,0.85531,0.85610,0.85364,0.85531
