,Open,High,Low,Close
2024-06-13,169.57400,170.13500,168.27500,168.63100
2024-06-12,169.27400,169.65100,169.24100,169.49400
2024-06-09,169.03999,169.21001,168.30200,169.03999
2024-06-06,169.57500,169.93800,168.96001,169.57500
2024-06-05,169.55600,170.20300,169.26900,169.55600
2024-06-04,168.79601,169.99800,168.78000,168.79601
2024-06-03,170.22800,170.71899,168.11301,170.22800
2024-06-02,170.58000,170.88300,169.73900,170.58000
2024-05-30,169.99600,170.72400,169.45200,169.99600
2024-05-29,170.21600,170.22900,169.03999,170.21600
2024-05-28,170.65401,170.78700,170.17101,170.65401
2024-05-27,170.34700,170.73599,170.28999,170.34700
2024-05-26,170.16100,170.49499,169.95000,170.16100
2024-05-23,169.71400,170.49000,169.61999,169.71400
2024-05-22,169.63200,170.29201,169.29800,169.63200
2024-05-21,169.60700,169.92000,169.42999,169.60700
2024-05-20,169.82201,169.92999,169.22800,169.82201
2024-05-19,169.34500,169.69501,169.08900,169.34500
2024-05-16,168.85400,169.28400,168.78000,168.85400
2024-05-15,168.00200,168.85100,167.32400,168.00200
2024-05-14,169.24100,169.39101,168.25700,169.24100
2024-05-13,168.59000,169.35300,168.57400,168.59000
2024-05-12,167.81700,168.61400,167.59000,167.81700
2024-05-09,167.53400,167.96001,167.51800,167.53400
2024-05-08,166.99899,167.73801,166.81700,166.99899
2024-05-07,166.35700,167.33000,166.30600,166.35700
2024-05-06,166.07800,166.55600,165.67999,166.07800
2024-05-05,165.20100,165.97600,165.09199,165.20100
2024-05-02,164.21600,164.77901,164.02499,164.21600
2024-05-01,166.88001,167.37900,164.34000,166.88001
2024-04-30,168.21500,168.62801,168.16800,168.21500
2024-04-29,167.39600,168.56500,167.21400,167.39600
2024-04-28,169.39999,171.35200,165.66000,169.39999
2024-04-25,166.90801,168.48500,166.74100,166.90801
2024-04-24,166.11600,167.00800,166.02100,166.11600
2024-04-23,165.61301,165.86400,165.44000,165.61301
2024-04-22,164.92500,165.71899,164.60001,164.92500
2024-04-21,164.79900,165.08501,164.38001,164.81000
2024-04-18,164.55901,165.01100,163.05299,164.55901
2024-04-17,164.66200,164.93401,164.39000,164.66200
2024-04-16,164.29601,164.73900,163.94701,164.29601
2024-04-15,163.83000,164.66901,163.68800,163.83000
2024-04-14,163.21001,164.40601,163.17600,163.21001
2024-04-11,164.31700,164.37700,162.31100,164.31700
2024-04-10,164.29201,164.68201,163.95100,164.29201
2024-04-09,164.80200,164.97600,164.07001,164.80200
2024-04-08,164.92200,165.16100,164.55701,164.92200
2024-04-07,164.28301,164.83400,164.19400,164.28301
2024-04-04,163.94501,164.39200,163.49699,163.94501
2024-04-03,164.27699,164.90100,164.24300,164.27699
2024-04-02,163.17900,164.31100,163.07700,163.17900
2024-04-01,162.75101,163.31700,162.60001,162.75101
2024-03-31,163.39400,163.41400,162.83000,163.39400
2024-03-28,163.41000,163.39999,162.78200,163.41000
2024-03-27,163.52901,163.85700,163.11999,163.52901
2024-03-26,164.03999,164.38500,163.42000,164.03999
2024-03-25,164.04800,164.40300,163.98801,164.04800
2024-03-24,163.52100,164.10500,163.35700,163.52100
2024-03-21,164.70300,164.76300,163.49000,164.70300
2024-03-20,164.87900,165.30701,164.35600,164.87900
2024-03-19,164.05499,164.73300,164.03101,164.05499
2024-03-18,162.17300,163.73100,162.12300,162.17300
2024-03-17,162.09700,162.67500,162.10300,162.09700
2024-03-14,161.37700,162.38400,161.07300,161.37700
2024-03-13,161.68700,161.89101,161.16000,161.68700
2024-03-12,161.29100,161.92200,160.90300,161.29100
2024-03-11,160.38901,161.47600,160.28301,160.38901
2024-03-10,160.60899,160.89700,160.21899,160.60899
2024-03-07,161.90801,162.14000,160.61099,161.90801
2024-03-06,162.68401,162.68100,160.57100,162.68401
2024-03-05,162.87199,162.95200,162.21800,162.87199
2024-03-04,163.31900,163.36000,162.70000,163.31900
2024-03-03,162.74699,163.50101,162.52000,162.74699
2024-02-29,162.16701,162.97200,162.15500,162.16701
2024-02-28,163.28999,163.28999,161.67999,163.24600
2024-02-27,163.14700,163.40300,162.76300,163.14700
2024-02-26,163.36800,163.36800,162.89101,163.35100
2024-02-25,162.82300,163.68401,162.55901,162.83099
2024-02-22,162.89800,163.20300,162.67999,162.89800
2024-02-21,162.68401,163.42999,162.64000,162.68401
2024-02-20,162.11099,162.58000,161.92999,162.11099
2024-02-19,161.89300,162.35500,161.69701,161.89300
2024-02-18,161.91000,161.91000,161.47000,161.86700
2024-02-15,161.53400,161.90801,161.50301,161.53400
2024-02-14,161.55997,161.62399,160.92900,161.55997
2024-02-13,161.39000,161.53999,160.95000,161.39000
2024-02-12,160.92700,161.55800,160.78000,160.91000
2024-02-11,161.06799,161.09000,160.38300,161.06799
2024-02-08,160.84599,161.24899,160.76000,160.84599
2024-02-07,159.57243,160.85001,159.46600,159.57243
2024-02-06,158.99100,159.71699,159.00900,158.99100
2024-02-05,159.65199,159.85400,159.02100,159.65199
2024-02-04,160.08099,160.24600,159.38300,160.08099
2024-02-01,159.24899,160.21500,159.04401,159.24899
2024-01-31,158.78301,159.12300,158.09199,158.78301
2024-01-30,159.78101,160.25900,158.64200,159.78101
2024-01-29,159.75600,160.30701,159.21899,159.75600
2024-01-28,160.61700,160.82600,159.41800,160.61700
2024-01-25,160.21899,160.90801,159.82001,160.21899
2024-01-24,160.59000,160.94200,159.70000,160.59000
2024-01-23,160.94900,160.93600,159.99200,160.94900
