,Open,High,Low,Close
2024-06-13,1.92068,1.92467,1.91733,1.92320
2024-06-12,1.92018,1.92353,1.91887,1.92169
2024-06-09,1.93366,1.93441,1.92557,1.93366
2024-06-06,1.91791,1.93289,1.91524,1.91791
2024-06-05,1.92223,1.92490,1.91641,1.92223
2024-06-04,1.92166,1.92535,1.91732,1.92166
2024-06-03,1.91468,1.92516,1.91327,1.91468
2024-06-02,1.91471,1.91834,1.90951,1.91471
2024-05-30,1.91977,1.92019,1.90894,1.91977
2024-05-29,1.91986,1.92436,1.91649,1.91986
2024-05-28,1.91900,1.92330,1.91426,1.91900
2024-05-27,1.91888,1.92045,1.91520,1.91888
2024-05-26,1.92250,1.92274,1.91740,1.92250
2024-05-23,1.92278,1.92467,1.91970,1.92278
2024-05-22,1.92170,1.92292,1.91182,1.92170
2024-05-21,1.90647,1.91955,1.90317,1.90647
2024-05-20,1.90470,1.91032,1.90345,1.90470
2024-05-19,1.89619,1.90566,1.89403,1.89619
2024-05-16,1.89620,1.90291,1.89602,1.89620
2024-05-15,1.89373,1.90048,1.88784,1.89373
2024-05-14,1.89971,1.90285,1.89436,1.89971
2024-05-13,1.89996,1.90306,1.89471,1.89996
2024-05-12,1.89702,1.90086,1.89466,1.89702
2024-05-09,1.89245,1.89704,1.89181,1.89245
2024-05-08,1.89947,1.90096,1.89190,1.89947
2024-05-07,1.89712,1.90311,1.89588,1.89712
2024-05-06,1.89610,1.90372,1.89231,1.89610
2024-05-05,1.89743,1.89910,1.89498,1.89743
2024-05-02,1.90812,1.90986,1.89231,1.90812
2024-05-01,1.91947,1.92148,1.90971,1.91947
2024-04-30,1.92845,1.93092,1.92210,1.92845
2024-04-29,1.91392,1.92947,1.91264,1.91392
2024-04-28,1.91221,1.91413,1.90450,1.91221
2024-04-25,1.91742,1.91793,1.90858,1.91742
2024-04-24,1.91758,1.92212,1.91380,1.91758
2024-04-23,1.91911,1.91950,1.90906,1.91911
2024-04-22,1.91420,1.92216,1.91121,1.91420
2024-04-21,1.92570,1.92614,1.91212,1.92574
2024-04-18,1.93563,1.94739,1.92997,1.93563
2024-04-17,1.93376,1.93737,1.93115,1.93376
2024-04-16,1.93839,1.94202,1.93638,1.93839
2024-04-15,1.93191,1.94574,1.93194,1.93191
2024-04-14,1.92410,1.92970,1.92028,1.92410
2024-04-11,1.91941,1.92493,1.91910,1.91941
2024-04-10,1.92654,1.92739,1.91869,1.92654
2024-04-09,1.91246,1.92891,1.91163,1.91246
2024-04-08,1.91630,1.91777,1.91143,1.91630
2024-04-07,1.92145,1.92301,1.91320,1.92145
2024-04-04,1.91869,1.92357,1.91730,1.91869
2024-04-03,1.92600,1.92647,1.91357,1.92600
2024-04-02,1.93052,1.93331,1.92532,1.93052
2024-04-01,1.93377,1.93419,1.92727,1.93377
2024-03-31,1.93400,1.93762,1.93279,1.93400
2024-03-28,1.93682,1.93974,1.93371,1.93682
2024-03-27,1.93434,1.94460,1.93154,1.93434
2024-03-26,1.93117,1.93688,1.93120,1.93117
2024-03-25,1.93240,1.93483,1.92955,1.93240
2024-03-24,1.93350,1.93539,1.93040,1.93350
2024-03-21,1.92648,1.93794,1.92630,1.92648
2024-03-20,1.93968,1.94038,1.92754,1.93968
2024-03-19,1.94883,1.94986,1.94461,1.94883
2024-03-18,1.94063,1.95055,1.93638,1.94063
2024-03-17,1.94123,1.94166,1.93793,1.94123
2024-03-14,1.93713,1.94417,1.93718,1.93713
2024-03-13,1.93140,1.93829,1.93049,1.93140
2024-03-12,1.93644,1.93816,1.93201,1.93644
2024-03-11,1.93779,1.93912,1.92807,1.93779
2024-03-10,1.94050,1.94437,1.93783,1.94050
2024-03-07,1.93509,1.94092,1.92931,1.93509
2024-03-06,1.93931,1.93950,1.92767,1.93931
2024-03-05,1.95325,1.95518,1.93860,1.95325
2024-03-04,1.94997,1.95645,1.94921,1.94997
2024-03-03,1.93931,1.94911,1.93780,1.93931
2024-02-29,1.94270,1.94610,1.93609,1.94270
2024-02-28,1.94937,1.94989,1.94109,1.94927
2024-02-27,1.93769,1.95045,1.93575,1.93769
2024-02-26,1.93944,1.94247,1.92911,1.93956
2024-02-25,1.93026,1.94016,1.93010,1.93007
2024-02-22,1.93049,1.93299,1.92601,1.93049
2024-02-21,1.92832,1.93286,1.91840,1.92832
2024-02-20,1.92646,1.92966,1.92226,1.92646
2024-02-19,1.92722,1.92936,1.91928,1.92722
2024-02-18,1.92897,1.93039,1.92555,1.92879
2024-02-15,1.93057,1.93318,1.92688,1.93057
2024-02-14,1.93377,1.93917,1.92668,1.93377
2024-02-13,1.95077,1.95246,1.93462,1.95077
2024-02-12,1.93379,1.95142,1.93324,1.93362
2024-02-11,1.93658,1.93845,1.93156,1.93658
2024-02-08,1.94206,1.94417,1.93326,1.94206
2024-02-07,1.93622,1.94530,1.93438,1.93622
2024-02-06,1.93020,1.93759,1.92817,1.93020
2024-02-05,1.93409,1.93534,1.92536,1.93409
2024-02-04,1.94018,1.94288,1.92761,1.94018
2024-02-01,1.93840,1.94229,1.92882,1.93840
2024-01-31,1.93198,1.94538,1.92738,1.93198
2024-01-30,1.92477,1.93248,1.92292,1.92477
2024-01-29,1.92191,1.92522,1.91828,1.92191
2024-01-28,1.92998,1.93068,1.92193,1.92998
2024-01-25,1.93023,1.93224,1.92590,1.93023
2024-01-24,1.93395,1.93587,1.92550,1.93395
2024-01-23,1.92673,1.93443,1.92666,1.92673
