,Open,High,Low,Close
2024-06-13,2.06842,2.07269,2.06450,2.06919
2024-06-12,2.06778,2.06960,2.06589,2.06950
2024-06-09,2.08453,2.08579,2.07720,2.08455
2024-06-06,2.06425,2.08364,2.06130,2.06421
2024-06-05,2.06446,2.06856,2.06060,2.06380
2024-06-04,2.06840,2.06873,2.06070,2.06852
2024-06-03,2.06830,2.07204,2.06710,2.06750
2024-06-02,2.07305,2.07556,2.06440,2.07269
2024-05-30,2.08117,2.08117,2.06960,2.08107
2024-05-29,2.07692,2.08382,2.07689,2.07687
2024-05-28,2.07660,2.08127,2.07560,2.07756
2024-05-27,2.07602,2.07785,2.07090,2.07583
2024-05-26,2.08027,2.08068,2.07410,2.08036
2024-05-23,2.08195,2.08456,2.07950,2.08167
2024-05-22,2.08524,2.08524,2.07560,2.08522
2024-05-21,2.08589,2.08614,2.06754,2.08583
2024-05-20,2.08099,2.08613,2.07930,2.08084
2024-05-19,2.07081,2.08217,2.06990,2.07035
2024-05-16,2.06895,2.07290,2.06740,2.06870
2024-05-15,2.07003,2.07485,2.06730,2.06981
2024-05-14,2.08200,2.08296,2.07360,2.08240
2024-05-13,2.08430,2.08868,2.07710,2.08533
2024-05-12,2.08080,2.08716,2.07830,2.08061
2024-05-09,2.07508,2.08324,2.07380,2.07491
2024-05-08,2.08062,2.08369,2.07530,2.08062
2024-05-07,2.08455,2.08670,2.08050,2.08442
2024-05-06,2.08988,2.09016,2.08370,2.08978
2024-05-05,2.08742,2.09221,2.08630,2.08740
2024-05-02,2.10235,2.10366,2.08404,2.10254
2024-05-01,2.11427,2.11663,2.10380,2.11380
2024-04-30,2.12459,2.12459,2.11460,2.12422
2024-04-29,2.10354,2.11833,2.10190,2.10310
2024-04-28,2.10290,2.10472,2.09580,2.10308
2024-04-25,2.09940,2.10384,2.09500,2.09922
2024-04-24,2.09867,2.10510,2.09580,2.09890
2024-04-23,2.09792,2.09920,2.09150,2.09680
2024-04-22,2.08542,2.09748,2.08410,2.08571
2024-04-21,2.09742,2.09763,2.08360,2.09731
2024-04-18,2.10600,2.11660,2.10310,2.10654
2024-04-17,2.10566,2.10713,2.10200,2.10603
2024-04-16,2.10893,2.11174,2.10360,2.10965
2024-04-15,2.10850,2.12011,2.10698,2.10820
2024-04-14,2.09583,2.10600,2.09270,2.09586
2024-04-11,2.09178,2.09568,2.08830,2.09192
2024-04-10,2.09794,2.09861,2.09017,2.09826
2024-04-09,2.08996,2.09926,2.08480,2.08993
2024-04-08,2.09729,2.09729,2.08960,2.09650
2024-04-07,2.10237,2.10311,2.09330,2.10247
2024-04-04,2.09703,2.10150,2.09650,2.09690
2024-04-03,2.10339,2.10349,2.09410,2.10336
2024-04-02,2.10681,2.11142,2.10350,2.10679
2024-04-01,2.10770,2.11113,2.10480,2.10772
2024-03-31,2.11091,2.11383,2.10810,2.11081
2024-03-28,2.11270,2.11495,2.10760,2.11322
2024-03-27,2.10520,2.11729,2.10390,2.10534
2024-03-26,2.10190,2.10604,2.10000,2.10196
2024-03-25,2.10565,2.10671,2.09880,2.10558
2024-03-24,2.10287,2.10667,2.09740,2.10298
2024-03-21,2.09300,2.10280,2.09290,2.09385
2024-03-20,2.10080,2.10274,2.09250,2.10154
2024-03-19,2.10282,2.10626,2.09950,2.10264
2024-03-18,2.09243,2.10172,2.09170,2.09150
2024-03-17,2.09115,2.09292,2.08750,2.09144
2024-03-14,2.08115,2.09307,2.08080,2.08083
2024-03-13,2.07628,2.07968,2.07190,2.07610
2024-03-12,2.08090,2.08153,2.07310,2.08057
2024-03-11,2.07731,2.08068,2.07008,2.07736
2024-03-10,2.08011,2.08252,2.07540,2.08020
2024-03-07,2.07368,2.08202,2.07147,2.07370
2024-03-06,2.07740,2.07783,2.06630,2.07816
2024-03-05,2.08715,2.09074,2.07680,2.08679
2024-03-04,2.08167,2.08827,2.08100,2.08142
2024-03-03,2.07420,2.08223,2.07160,2.07405
2024-02-29,2.07403,2.07614,2.06806,2.07443
2024-02-28,2.07590,2.08243,2.07350,2.07669
2024-02-27,2.05512,2.08040,2.05298,2.05508
2024-02-26,2.05663,2.06064,2.05367,2.05700
2024-02-25,2.04837,2.05641,2.04747,2.04813
2024-02-22,2.04386,2.04849,2.03980,2.04393
2024-02-21,2.04431,2.04574,2.03770,2.04472
2024-02-20,2.04610,2.04693,2.03700,2.04686
2024-02-19,2.04901,2.05209,2.03930,2.04900
2024-02-18,2.05545,2.05651,2.04770,2.05498
2024-02-15,2.06143,2.06647,2.05652,2.06090
2024-02-14,2.06334,2.06580,2.05344,2.06339
2024-02-13,2.07864,2.08076,2.06140,2.07831
2024-02-12,2.06047,2.07998,2.05910,2.05997
2024-02-11,2.05523,2.06237,2.05464,2.05542
2024-02-08,2.06416,2.06602,2.05028,2.06603
2024-02-07,2.06660,2.07236,2.06370,2.06659
2024-02-06,2.06580,2.07059,2.06220,2.06631
2024-02-05,2.07047,2.07587,2.06576,2.07057
2024-02-04,2.08266,2.08364,2.07090,2.08155
2024-02-01,2.07397,2.08497,2.06970,2.07395
2024-01-31,2.07398,2.08218,2.06700,2.07360
2024-01-30,2.07005,2.07429,2.06340,2.06930
2024-01-29,2.07200,2.07275,2.06417,2.07208
2024-01-28,2.08431,2.08514,2.07321,2.08382
2024-01-25,2.08002,2.08690,2.07900,2.08007
2024-01-24,2.08261,2.08273,2.07471,2.08188
2024-01-23,2.07940,2.08392,2.07400,2.07931
