,Open,High,Low,Close
2024-06-13,1.27949,1.28076,1.27380,1.27619
2024-06-12,1.27997,1.28034,1.27933,1.27956
2024-06-09,1.27287,1.27324,1.26891,1.27294
2024-06-06,1.27943,1.28108,1.27175,1.27933
2024-06-05,1.27939,1.28107,1.27655,1.27948
2024-06-04,1.27730,1.27953,1.27577,1.27730
2024-06-03,1.28102,1.28172,1.27444,1.28102
2024-06-02,1.27441,1.27939,1.26955,1.27437
2024-05-30,1.27303,1.27655,1.27016,1.27304
2024-05-29,1.26982,1.27476,1.26818,1.26980
2024-05-28,1.27600,1.27717,1.27071,1.27584
2024-05-27,1.27727,1.27998,1.27631,1.27724
2024-05-26,1.27345,1.27790,1.27345,1.27361
2024-05-23,1.26937,1.27514,1.26828,1.26941
2024-05-22,1.27209,1.27470,1.27062,1.27210
2024-05-21,1.27104,1.27613,1.27010,1.27113
2024-05-20,1.27105,1.27273,1.26929,1.27108
2024-05-19,1.27079,1.27129,1.26915,1.27065
2024-05-16,1.26727,1.27086,1.26454,1.26720
2024-05-15,1.26892,1.27005,1.26454,1.26900
2024-05-14,1.25846,1.26711,1.25846,1.25853
2024-05-13,1.25597,1.25930,1.25117,1.25619
2024-05-12,1.25235,1.25691,1.25186,1.25229
2024-05-09,1.25254,1.25415,1.25039,1.25257
2024-05-08,1.24936,1.25207,1.24491,1.24933
2024-05-07,1.25033,1.25056,1.24673,1.25014
2024-05-06,1.25600,1.25702,1.25316,1.25598
2024-05-05,1.25411,1.25943,1.25395,1.25411
2024-05-02,1.25400,1.26294,1.25299,1.25406
2024-05-01,1.25371,1.25470,1.24729,1.25393
2024-04-30,1.24894,1.24984,1.24682,1.24902
2024-04-29,1.25600,1.25628,1.25056,1.25598
2024-04-28,1.25110,1.25549,1.25084,1.25105
2024-04-25,1.25080,1.25415,1.24507,1.25091
2024-04-24,1.24597,1.25235,1.24558,1.24595
2024-04-23,1.24550,1.24673,1.24239,1.24533
2024-04-22,1.23501,1.24579,1.23334,1.23503
2024-04-21,1.23762,1.23927,1.23012,1.23758
2024-04-18,1.24363,1.24688,1.23920,1.24377
2024-04-17,1.24536,1.24846,1.24378,1.24538
2024-04-16,1.24310,1.24818,1.24177,1.24310
2024-04-15,1.24469,1.24735,1.24114,1.24474
2024-04-14,1.24601,1.24984,1.24435,1.24618
2024-04-11,1.25564,1.25589,1.24289,1.25548
2024-04-10,1.25370,1.25777,1.25117,1.25376
2024-04-09,1.26777,1.27053,1.25349,1.26777
2024-04-08,1.26598,1.27091,1.26502,1.26587
2024-04-07,1.26263,1.26558,1.26135,1.26253
2024-04-04,1.26397,1.26501,1.25758,1.26402
2024-04-03,1.26539,1.26817,1.26454,1.26518
2024-04-02,1.25766,1.26355,1.25636,1.25769
2024-04-01,1.25475,1.25786,1.25408,1.25455
2024-03-31,1.26382,1.26438,1.25408,1.26373
2024-03-28,1.26242,1.26481,1.26103,1.26263
2024-03-27,1.26171,1.26497,1.25865,1.26167
2024-03-26,1.26283,1.26390,1.26060,1.26285
2024-03-25,1.26370,1.26679,1.26259,1.26379
2024-03-24,1.25979,1.26518,1.25927,1.25979
2024-03-21,1.26614,1.26759,1.25774,1.26619
2024-03-20,1.27984,1.28039,1.26605,1.27984
2024-03-19,1.27178,1.27301,1.26850,1.27194
2024-03-18,1.27272,1.27291,1.26698,1.27272
2024-03-17,1.27319,1.27486,1.27226,1.27314
2024-03-14,1.27465,1.27592,1.27307,1.27458
2024-03-13,1.28020,1.28235,1.27307,1.28021
2024-03-12,1.27966,1.28090,1.27761,1.27959
2024-03-11,1.28185,1.28255,1.27483,1.28198
2024-03-10,1.28561,1.28624,1.27961,1.28551
2024-03-07,1.28138,1.28906,1.28020,1.28156
2024-03-06,1.27364,1.27988,1.27239,1.27354
2024-03-05,1.27050,1.27611,1.26904,1.27049
2024-03-04,1.26904,1.27335,1.26727,1.26920
2024-03-03,1.26613,1.27066,1.26568,1.26603
2024-02-29,1.26272,1.26561,1.26011,1.26255
2024-02-28,1.26619,1.26822,1.26291,1.26630
2024-02-27,1.26807,1.26842,1.26247,1.26817
2024-02-26,1.26846,1.26969,1.26619,1.26846
2024-02-25,1.26711,1.26995,1.26573,1.26727
2024-02-22,1.26614,1.27018,1.26497,1.26637
2024-02-21,1.26389,1.27097,1.26126,1.26381
2024-02-20,1.26264,1.26379,1.26040,1.26274
2024-02-19,1.25883,1.26670,1.25802,1.25876
2024-02-18,1.26111,1.26298,1.25834,1.26111
2024-02-15,1.25992,1.26024,1.25544,1.25992
2024-02-14,1.25682,1.25965,1.25426,1.25683
2024-02-13,1.25913,1.26110,1.25370,1.25907
2024-02-12,1.26275,1.26834,1.25778,1.26275
2024-02-11,1.26387,1.26541,1.26075,1.26373
2024-02-08,1.26215,1.26422,1.26010,1.26205
2024-02-07,1.26275,1.26390,1.25748,1.26274
2024-02-06,1.26040,1.26419,1.25976,1.26065
2024-02-05,1.25345,1.25946,1.25345,1.25345
2024-02-04,1.26169,1.26299,1.25200,1.26220
2024-02-01,1.27473,1.27729,1.26237,1.27473
2024-01-31,1.26807,1.27254,1.26263,1.26785
2024-01-30,1.26952,1.27493,1.26679,1.26955
2024-01-29,1.27141,1.27214,1.26429,1.27133
2024-01-28,1.26971,1.27194,1.26632,1.26976
2024-01-25,1.27070,1.27575,1.26773,1.27083
2024-01-24,1.27184,1.27423,1.26929,1.27188
2024-01-23,1.26942,1.27737,1.26868,1.26920
