,Open,High,Low,Close
2024-06-13,0.61848,0.61986,0.61596,0.61667
2024-06-12,0.61881,0.61889,0.61816,0.61824
2024-06-09,0.61062,0.61253,0.61006,0.61062
2024-06-06,0.61970,0.62039,0.61064,0.61970
2024-06-05,0.61963,0.62157,0.61748,0.61963
2024-06-04,0.61747,0.61988,0.61714,0.61747
2024-06-03,0.61936,0.61986,0.61567,0.61936
2024-06-02,0.61486,0.61887,0.61344,0.61486
2024-05-30,0.61165,0.61660,0.61155,0.61165
2024-05-29,0.61136,0.61317,0.60896,0.61136
2024-05-28,0.61407,0.61455,0.61152,0.61407
2024-05-27,0.61523,0.61705,0.61493,0.61523
2024-05-26,0.61217,0.61535,0.61212,0.61217
2024-05-23,0.60973,0.61242,0.60885,0.60973
2024-05-22,0.61001,0.61340,0.60999,0.61001
2024-05-21,0.60938,0.61530,0.60932,0.60938
2024-05-20,0.61081,0.61109,0.60901,0.61081
2024-05-19,0.61367,0.61368,0.60976,0.61367
2024-05-16,0.61242,0.61351,0.61018,0.61242
2024-05-15,0.61306,0.61409,0.60968,0.61306
2024-05-14,0.60433,0.61076,0.60428,0.60433
2024-05-13,0.60234,0.60384,0.60048,0.60234
2024-05-12,0.60185,0.60310,0.60011,0.60185
2024-05-09,0.60362,0.60370,0.60099,0.60362
2024-05-08,0.60042,0.60255,0.59935,0.60042
2024-05-07,0.59972,0.60035,0.59820,0.59972
2024-05-06,0.60095,0.60242,0.60009,0.60095
2024-05-05,0.60076,0.60324,0.59970,0.60076
2024-05-02,0.59639,0.60434,0.59573,0.59639
2024-05-01,0.59301,0.59474,0.59160,0.59301
2024-04-30,0.58795,0.59058,0.58775,0.58795
2024-04-29,0.59716,0.59737,0.59083,0.59716
2024-04-28,0.59477,0.59828,0.59432,0.59477
2024-04-25,0.59584,0.59698,0.59300,0.59584
2024-04-24,0.59359,0.59650,0.59211,0.59359
2024-04-23,0.59369,0.59518,0.59212,0.59369
2024-04-22,0.59212,0.59473,0.59035,0.59212
2024-04-21,0.59000,0.59289,0.58954,0.59003
2024-04-18,0.59035,0.59059,0.58548,0.59035
2024-04-17,0.59130,0.59335,0.59075,0.59130
2024-04-16,0.58921,0.59174,0.58940,0.58921
2024-04-15,0.59028,0.59074,0.58743,0.59028
2024-04-14,0.59456,0.59537,0.59137,0.59456
2024-04-11,0.60012,0.60106,0.59363,0.60012
2024-04-10,0.59746,0.60148,0.59702,0.59746
2024-04-09,0.60679,0.60800,0.59773,0.60679
2024-04-08,0.60344,0.60767,0.60347,0.60344
2024-04-07,0.60045,0.60391,0.60015,0.60045
2024-04-04,0.60278,0.60311,0.59869,0.60278
2024-04-03,0.60147,0.60456,0.60129,0.60147
2024-04-02,0.59694,0.60000,0.59536,0.59694
2024-04-01,0.59524,0.59735,0.59442,0.59524
2024-03-31,0.59866,0.59932,0.59407,0.59866
2024-03-28,0.59747,0.59920,0.59697,0.59747
2024-03-27,0.59925,0.60041,0.59572,0.59925
2024-03-26,0.60076,0.60108,0.59890,0.60076
2024-03-25,0.60016,0.60311,0.59970,0.60016
2024-03-24,0.59902,0.60131,0.59876,0.59902
2024-03-21,0.60464,0.60520,0.59939,0.60464
2024-03-20,0.60896,0.61080,0.60448,0.60896
2024-03-19,0.60490,0.60564,0.60259,0.60490
2024-03-18,0.60827,0.60824,0.60351,0.60827
2024-03-17,0.60870,0.61005,0.60809,0.60870
2024-03-14,0.61248,0.61243,0.60856,0.61248
2024-03-13,0.61650,0.61755,0.61239,0.61650
2024-03-12,0.61496,0.61700,0.61459,0.61496
2024-03-11,0.61708,0.61827,0.61368,0.61708
2024-03-10,0.61794,0.61827,0.61612,0.61794
2024-03-07,0.61788,0.62163,0.61639,0.61788
2024-03-06,0.61279,0.61764,0.61278,0.61279
2024-03-05,0.60878,0.61437,0.60711,0.60878
2024-03-04,0.60966,0.61073,0.60719,0.60966
2024-03-03,0.61038,0.61119,0.60890,0.61038
2024-02-29,0.60858,0.61116,0.60799,0.60858
2024-02-28,0.60971,0.61115,0.60779,0.60971
2024-02-27,0.61703,0.61781,0.60828,0.61703
2024-02-26,0.61671,0.61780,0.61523,0.61671
2024-02-25,0.61854,0.61885,0.61632,0.61869
2024-02-22,0.61953,0.62112,0.61815,0.61953
2024-02-21,0.61803,0.62187,0.61782,0.61803
2024-02-20,0.61682,0.61977,0.61658,0.61682
2024-02-19,0.61426,0.61909,0.61316,0.61426
2024-02-18,0.61351,0.61526,0.61330,0.61364
2024-02-15,0.61112,0.61210,0.60885,0.61112
2024-02-14,0.60906,0.61273,0.60809,0.60906
2024-02-13,0.60578,0.60898,0.60527,0.60578
2024-02-12,0.61279,0.61300,0.60557,0.61279
2024-02-11,0.61477,0.61523,0.61215,0.61477
2024-02-08,0.61079,0.61565,0.61079,0.61079
2024-02-07,0.61096,0.61232,0.60802,0.61096
2024-02-06,0.60998,0.61248,0.60931,0.60998
2024-02-05,0.60531,0.60775,0.60477,0.60531
2024-02-04,0.60645,0.60821,0.60401,0.60645
2024-02-01,0.61457,0.61612,0.60622,0.61457
2024-01-31,0.61119,0.61410,0.60812,0.61119
2024-01-30,0.61318,0.61738,0.61092,0.61318
2024-01-29,0.61348,0.61494,0.61072,0.61348
2024-01-28,0.60929,0.61220,0.60884,0.60929
2024-01-25,0.61089,0.61186,0.60934,0.61089
2024-01-24,0.61086,0.61320,0.61008,0.61086
2024-01-23,0.61034,0.61489,0.60896,0.61034
