,Open,High,Low,Close
2024-06-13,0.89441,0.89672,0.89305,0.89365
2024-06-12,0.89404,0.89465,0.89351,0.89385
2024-06-09,0.89610,0.89825,0.89530,0.89610
2024-06-06,0.88972,0.89720,0.88810,0.88972
2024-06-05,0.89250,0.89305,0.89010,0.89250
2024-06-04,0.88995,0.89482,0.88993,0.88995
2024-06-03,0.89502,0.89693,0.88940,0.89502
2024-06-02,0.90132,0.90350,0.89480,0.90132
2024-05-30,0.90331,0.90679,0.90020,0.90331
2024-05-29,0.91280,0.91407,0.90320,0.91280
2024-05-28,0.91229,0.91419,0.91100,0.91229
2024-05-27,0.91320,0.91320,0.90840,0.91320
2024-05-26,0.91440,0.91528,0.91300,0.91440
2024-05-23,0.91433,0.91566,0.91360,0.91433
2024-05-22,0.91500,0.91529,0.91250,0.91500
2024-05-21,0.91116,0.91572,0.91060,0.91116
2024-05-20,0.91012,0.91154,0.90850,0.91012
2024-05-19,0.90870,0.91081,0.90780,0.90870
2024-05-16,0.90599,0.90975,0.90600,0.90599
2024-05-15,0.90053,0.90566,0.89883,0.90053
2024-05-14,0.90670,0.90697,0.90184,0.90670
2024-05-13,0.90790,0.90936,0.90550,0.90790
2024-05-12,0.90645,0.90762,0.90450,0.90645
2024-05-09,0.90585,0.90840,0.90550,0.90585
2024-05-08,0.90799,0.90981,0.90601,0.90799
2024-05-07,0.90848,0.90950,0.90720,0.90848
2024-05-06,0.90670,0.90857,0.90560,0.90670
2024-05-05,0.90594,0.90626,0.90340,0.90594
2024-05-02,0.90977,0.91043,0.90075,0.90977
2024-05-01,0.91636,0.91728,0.91060,0.91636
2024-04-30,0.91949,0.92225,0.91870,0.91949
2024-04-29,0.91072,0.91777,0.91040,0.91072
2024-04-28,0.91369,0.91434,0.90950,0.91369
2024-04-25,0.91252,0.91493,0.90970,0.91252
2024-04-24,0.91444,0.91563,0.91210,0.91444
2024-04-23,0.91140,0.91517,0.91110,0.91140
2024-04-22,0.91189,0.91294,0.90840,0.91189
2024-04-21,0.91120,0.91231,0.90980,0.91098
2024-04-18,0.91210,0.91265,0.90183,0.91210
2024-04-17,0.91040,0.91213,0.90790,0.91040
2024-04-16,0.91256,0.91317,0.90940,0.91256
2024-04-15,0.91160,0.91409,0.91123,0.91160
2024-04-14,0.91377,0.91512,0.91210,0.91377
2024-04-11,0.90983,0.91362,0.90937,0.90983
2024-04-10,0.91304,0.91458,0.90756,0.91304
2024-04-09,0.90298,0.91308,0.90270,0.90298
2024-04-08,0.90501,0.90558,0.90120,0.90501
2024-04-07,0.90317,0.90635,0.90230,0.90317
2024-04-04,0.90151,0.90677,0.89970,0.90151
2024-04-03,0.90289,0.90745,0.90250,0.90289
2024-04-02,0.90782,0.90947,0.90320,0.90782
2024-04-01,0.90507,0.90894,0.90490,0.90507
2024-03-31,0.90200,0.90558,0.90040,0.90200
2024-03-28,0.90107,0.90274,0.90027,0.90107
2024-03-27,0.90550,0.90644,0.90054,0.90550
2024-03-26,0.90365,0.90712,0.90320,0.90365
2024-03-25,0.89947,0.90431,0.89880,0.89947
2024-03-24,0.89762,0.89860,0.89680,0.89762
2024-03-21,0.89768,0.90190,0.89690,0.89768
2024-03-20,0.88555,0.89924,0.88390,0.88555
2024-03-19,0.88854,0.89179,0.88830,0.88854
2024-03-18,0.88751,0.88981,0.88660,0.88751
2024-03-17,0.88359,0.88640,0.88210,0.88359
2024-03-14,0.88427,0.88520,0.88170,0.88427
2024-03-13,0.87838,0.88366,0.87810,0.87838
2024-03-12,0.87739,0.87882,0.87650,0.87739
2024-03-11,0.87725,0.87941,0.87495,0.87725
2024-03-10,0.87751,0.87940,0.87530,0.87751
2024-03-07,0.87710,0.87769,0.87308,0.87710
2024-03-06,0.88210,0.88227,0.87730,0.88210
2024-03-05,0.88358,0.88551,0.88060,0.88358
2024-03-04,0.88520,0.88657,0.88240,0.88520
2024-03-03,0.88334,0.88632,0.88050,0.88334
2024-02-29,0.88440,0.88919,0.88380,0.88440
2024-02-28,0.87871,0.88349,0.87780,0.87871
2024-02-27,0.87880,0.88155,0.87840,0.87880
2024-02-26,0.87990,0.88095,0.87847,0.87990
2024-02-25,0.88125,0.88215,0.87860,0.88125
2024-02-22,0.87995,0.88186,0.87800,0.87995
2024-02-21,0.87925,0.88205,0.87440,0.87925
2024-02-20,0.88181,0.88198,0.87920,0.88181
2024-02-19,0.88275,0.88376,0.87850,0.88275
2024-02-18,0.88070,0.88208,0.87950,0.88065
2024-02-15,0.87980,0.88374,0.87960,0.87980
2024-02-14,0.88510,0.88573,0.87810,0.88510
2024-02-13,0.88741,0.88848,0.88490,0.88741
2024-02-12,0.87580,0.88753,0.87536,0.87580
2024-02-11,0.87416,0.87722,0.87266,0.87416
2024-02-08,0.87345,0.87618,0.87300,0.87345
2024-02-07,0.87391,0.87599,0.87220,0.87391
2024-02-06,0.86950,0.87344,0.86880,0.86950
2024-02-05,0.87070,0.87391,0.86890,0.87070
2024-02-04,0.86698,0.87177,0.86686,0.86698
2024-02-01,0.85762,0.86776,0.85510,0.85762
2024-01-31,0.86234,0.86492,0.85735,0.86234
2024-01-30,0.86186,0.86421,0.85539,0.86186
2024-01-29,0.86132,0.86425,0.86085,0.86132
2024-01-28,0.86414,0.86487,0.86050,0.86414
2024-01-25,0.86690,0.86844,0.86160,0.86690
2024-01-24,0.86302,0.86836,0.86270,0.86302
2024-01-23,0.86960,0.86987,0.86070,0.86960
