,Open,High,Low,Close
2024-06-13,156.82500,157.31100,156.57000,157.04700
2024-06-12,156.59100,156.90801,156.54700,156.82400
2024-06-09,156.83299,157.18600,156.72301,156.83299
2024-06-06,155.69701,157.06700,155.14200,155.69701
2024-06-05,155.92900,156.39600,155.40700,155.92900
2024-06-04,155.12399,156.47301,155.11099,155.12399
2024-06-03,156.07600,156.47900,154.60100,156.07600
2024-06-02,157.17999,157.45100,155.97099,157.17999
2024-05-30,156.95300,157.36200,156.57001,156.95300
2024-05-29,157.60800,157.62700,156.42700,157.60800
2024-05-28,157.26199,157.63901,157.02200,157.26199
2024-05-27,156.84500,156.98900,156.61200,156.84500
2024-05-26,156.86999,156.95500,156.67799,156.86999
2024-05-23,156.97301,157.13699,156.86800,156.97301
2024-05-22,156.70399,157.16299,156.52901,156.70399
2024-05-21,156.25101,156.60500,156.14700,156.25101
2024-05-20,156.36999,156.52400,155.87199,156.36999
2024-05-19,155.75400,156.21899,155.51401,155.75400
2024-05-16,155.37900,155.97501,155.27100,155.37900
2024-05-15,154.28200,155.51601,153.59000,154.28200
2024-05-14,156.49800,156.55299,154.75900,156.49800
2024-05-13,156.23300,156.67101,156.22700,156.23300
2024-05-12,155.81799,156.21001,155.59599,155.81799
2024-05-09,155.38901,155.88600,155.38100,155.38901
2024-05-08,155.41901,155.94701,155.22600,155.41901
2024-05-07,154.74800,155.64999,154.69400,154.74800
2024-05-06,154.23700,154.64000,153.89400,154.23700
2024-05-05,153.56599,154.00501,153.32100,153.56599
2024-05-02,153.04500,153.41000,151.88100,153.04500
2024-05-01,155.70399,156.25101,153.49499,155.70399
2024-04-30,157.72200,157.98200,157.42101,157.72200
2024-04-29,156.31400,157.55600,156.20399,156.31400
2024-04-28,158.22400,159.96100,154.54900,158.22400
2024-04-25,155.59700,157.66600,155.47900,155.59700
2024-04-24,155.25900,155.73599,155.25900,155.25900
2024-04-23,154.74400,155.13001,154.74000,154.74400
2024-04-22,154.81300,154.87100,154.59399,154.81300
2024-04-21,154.62900,154.78400,154.58701,154.64000
2024-04-18,154.61000,154.66100,153.61800,154.61000
2024-04-17,154.34199,154.64101,153.98500,154.34199
2024-04-16,154.69800,154.72700,154.46100,154.69800
2024-04-15,154.20599,154.76100,154.14999,154.20599
2024-04-14,153.28301,154.43600,153.28500,153.28301
2024-04-11,153.19200,153.37700,152.61700,153.19200
2024-04-10,152.96400,153.30901,152.76700,152.96400
2024-04-09,151.77699,152.92600,151.68300,151.77699
2024-04-08,151.84300,151.92799,151.57899,151.84300
2024-04-07,151.69000,151.93201,151.67700,151.69000
2024-04-04,151.29201,151.74300,150.85400,151.29201
2024-04-03,151.58099,151.76300,151.51199,151.58099
2024-04-02,151.53999,151.94701,151.45900,151.53999
2024-04-01,151.58099,151.78700,151.47700,151.58099
2024-03-31,151.39800,151.75400,151.25800,151.39800
2024-03-28,151.44000,151.48900,151.16901,151.44000
2024-03-27,151.28700,151.53900,151.15199,151.28700
2024-03-26,151.53000,151.94400,151.03799,151.53000
2024-03-25,151.37300,151.59100,151.21899,151.37300
2024-03-24,151.30499,151.42999,151.05701,151.30499
2024-03-21,151.63300,151.84599,151.02600,151.63300
2024-03-20,150.76000,151.65199,150.27600,150.76000
2024-03-19,151.03500,151.79100,151.01601,151.03500
2024-03-18,149.14400,150.83900,149.11700,149.14400
2024-03-17,148.95500,149.32100,148.92900,148.95500
2024-03-14,148.29601,149.15801,148.05701,148.29601
2024-03-13,147.62100,148.30299,147.50900,147.62100
2024-03-12,147.61900,148.03101,147.25200,147.61900
2024-03-11,146.73200,147.95599,146.64500,146.73200
2024-03-10,146.77400,147.12500,146.49499,146.77400
2024-03-07,147.86800,148.10001,146.50400,147.86800
2024-03-06,149.26900,149.25900,147.58299,149.26900
2024-03-05,150.04900,150.07600,149.13901,150.04900
2024-03-04,150.46600,150.54201,149.73300,150.46600
2024-03-03,150.10500,150.56599,149.84399,150.10500
2024-02-29,150.09500,150.69800,150.06900,150.09500
2024-02-28,150.65601,150.64101,149.21500,150.65601
2024-02-27,150.49499,150.83701,150.37300,150.49499
2024-02-26,150.56599,150.60001,150.12801,150.56599
2024-02-25,150.49699,150.81400,150.29601,150.49800
2024-02-22,150.48300,150.76199,150.30600,150.48300
2024-02-21,150.35500,150.63901,150.01601,150.35500
2024-02-20,149.93900,150.29500,149.85700,149.93900
2024-02-19,150.27000,150.43401,149.69800,150.27000
2024-02-18,150.13901,150.18700,149.88300,150.09100
2024-02-15,149.94600,150.63699,149.92999,149.94600
2024-02-14,150.54401,150.55901,149.75900,150.54401
2024-02-13,150.72400,150.77400,150.36301,150.72400
2024-02-12,149.40500,150.75400,149.28400,149.40500
2024-02-11,149.16701,149.47600,148.93201,149.16701
2024-02-08,149.25900,149.57100,149.05901,149.25900
2024-02-07,148.08600,149.47400,147.93500,148.08600
2024-02-06,147.81799,148.24499,147.66299,147.81799
2024-02-05,148.64000,148.78301,148.00600,148.64000
2024-02-04,148.50101,148.88001,148.28000,148.50101
2024-02-01,146.45100,148.56200,146.24800,146.45100
2024-01-31,146.99600,147.10899,145.92101,146.99600
2024-01-30,147.36900,147.89000,146.08200,147.36900
2024-01-29,147.46800,147.90199,147.11000,147.46800
2024-01-28,148.14000,148.32201,147.60600,148.14000
2024-01-25,147.72301,148.13901,147.50900,147.72301
2024-01-24,147.59100,147.85800,147.10899,147.59100
2024-01-23,148.25101,148.23801,146.67600,148.25101
