,Open,High,Low,Close
2024-06-13,175.07900,175.77800,175.07900,175.71700
2024-06-12,175.02600,175.98300,174.65000,175.08100
2024-06-11,175.12300,175.52300,174.78700,175.07400
2024-06-10,174.63700,175.33900,174.57000,175.26400
2024-06-07,174.90500,175.26100,174.43000,174.90800
2024-06-06,174.59100,175.36800,174.45300,174.89300
2024-06-05,173.89500,175.13900,173.88500,174.59200
2024-06-04,174.22800,174.74800,173.19900,173.87300
2024-06-03,174.14700,174.68100,173.78600,174.22800
2024-05-31,173.54300,174.36700,173.21300,174.33600
2024-05-30,172.55700,173.64000,171.84100,173.53800
2024-05-29,172.23700,172.68300,172.00200,172.57100
2024-05-28,171.72600,172.47700,171.64100,172.23700
2024-05-27,171.58000,171.79200,171.32600,171.73800
2024-05-24,171.65700,171.84500,171.46700,171.61800
2024-05-23,171.13100,171.90200,171.00700,171.65100
2024-05-22,171.40700,171.63400,170.96800,171.16300
2024-05-21,171.59400,171.87800,171.27500,171.41300
2024-05-20,171.10600,171.95600,171.02600,171.58400
2024-05-17,171.40000,171.85700,171.10400,171.19300
2024-05-16,171.54100,171.77500,170.79900,171.48100
2024-05-15,172.50500,172.68600,171.33000,171.56500
2024-05-14,171.95100,172.71300,171.90600,172.48800
2024-05-13,171.86900,172.21900,171.53400,171.96500
2024-05-10,171.57300,172.04600,171.40000,171.81000
2024-05-09,171.26400,171.68300,170.87100,171.61300
2024-05-08,170.10500,171.41100,170.10500,171.29100
2024-05-07,169.75900,170.43700,169.72200,170.10100
2024-05-06,168.92500,170.15500,168.87000,169.83000
2024-05-03,168.82800,169.13100,168.01200,169.03900
2024-05-02,168.44300,170.69900,168.18100,168.80900
2024-05-01,171.59000,171.75100,167.30100,169.05900
2024-04-30,171.56100,172.33400,171.33100,171.64200
2024-04-29,172.67800,175.06800,169.56600,171.69700
2024-04-26,170.53500,173.20500,170.27600,173.19800
2024-04-25,169.64100,170.65400,169.62700,170.56400
2024-04-24,169.74600,170.00300,169.14600,169.63800
2024-04-23,169.71700,170.18600,169.48000,169.76300
2024-04-22,169.88800,169.96500,169.53700,169.72800
2024-04-19,169.40600,170.71900,169.29100,169.87800
2024-04-18,169.42400,170.05900,169.13500,169.40700
2024-04-17,169.41100,169.90400,169.22600,169.42300
2024-04-16,169.14700,169.65300,168.76700,169.40700
2024-04-15,167.69100,169.25700,167.64800,169.14700
2024-04-12,168.37500,168.45700,167.50900,167.62000
2024-04-11,167.55800,168.47800,167.30100,168.37800
2024-04-10,167.91700,168.23900,167.21600,167.56000
2024-04-09,167.64700,168.37800,167.59000,167.96800
2024-04-08,168.04000,168.14400,167.50400,167.66700
2024-04-05,167.77800,168.48000,167.05800,168.04900
2024-04-04,167.92600,167.98800,167.13800,167.87200
2024-04-03,166.94600,168.02800,166.75000,167.92600
2024-04-02,167.66600,167.67600,166.77100,166.94700
2024-04-01,167.75200,168.05500,167.46100,167.68700
2024-03-29,167.75800,168.08700,167.50000,167.85700
2024-03-28,167.28800,168.05800,166.88800,167.77600
2024-03-27,167.54900,168.04400,166.54700,167.25400
2024-03-26,168.33900,168.35700,167.43400,167.54100
2024-03-25,168.71600,168.78800,168.25100,168.32900
2024-03-22,168.85200,168.97900,167.96500,168.72500
2024-03-21,170.46600,170.80100,168.44400,168.87000
2024-03-20,169.80800,170.71000,169.62300,170.48900
2024-03-19,167.99300,170.02000,167.77200,169.80800
2024-03-18,168.70200,169.01300,167.84100,167.97700
2024-03-15,167.80600,168.82600,167.33000,168.67000
2024-03-14,167.98500,168.26500,167.59400,167.81500
2024-03-13,168.26200,168.65300,167.80600,167.97500
2024-03-12,167.47500,168.53100,167.12100,168.25000
2024-03-11,167.58600,167.65600,167.07000,167.47100
2024-03-08,168.66800,168.79200,167.49600,167.52000
2024-03-07,169.33700,169.33700,167.72200,168.66700
2024-03-06,169.87000,169.87000,168.91600,169.32600
2024-03-05,170.08100,170.15800,169.45900,169.80800
2024-03-04,169.64300,170.71000,169.59200,170.08200
2024-03-01,169.51000,170.21300,169.37900,169.93600
2024-02-29,171.44000,171.45400,169.48600,169.50900
2024-02-28,171.28800,171.50700,170.97600,171.43600
2024-02-27,171.21800,171.32800,170.59500,171.29300
2024-02-26,171.03800,171.38800,170.44000,171.21800
2024-02-23,170.99300,171.31800,170.61300,170.81200
2024-02-22,170.87800,171.69100,170.61900,171.00200
2024-02-21,170.06200,170.93600,169.95800,170.88300
2024-02-20,170.25300,170.51400,170.01400,170.06800
2024-02-19,170.36500,170.67100,170.05100,170.10500
2024-02-16,170.31800,170.70200,170.27700,170.44800
2024-02-15,169.90400,170.58600,169.54300,170.33800
2024-02-14,169.95200,170.07200,169.44800,169.94000
2024-02-13,170.55700,170.87500,169.38000,169.95200
2024-02-12,170.55700,170.81500,170.05900,170.51300
2024-02-09,170.87700,171.00900,170.46400,170.64800
2024-02-08,169.38200,170.95100,169.25300,170.90100
2024-02-07,170.06000,170.25800,169.26800,169.39200
2024-02-06,170.72600,170.82500,169.87800,170.06100
2024-02-05,171.19700,171.40800,170.48000,170.73200
2024-02-02,170.69400,171.49000,170.45600,171.14200
2024-02-01,170.45500,170.75700,169.64800,170.69200
2024-01-31,171.35200,171.41800,170.08000,170.54700
2024-01-30,171.22100,171.37600,170.50300,171.26300
2024-01-29,171.43700,171.82100,170.81100,171.22300
2024-01-26,170.27100,171.66300,170.07700,171.43600
