,Open,High,Low,Close
2024-06-13,1.62325,1.62738,1.61700,1.61818
2024-06-12,1.62201,1.62452,1.62150,1.62434
2024-06-09,1.63737,1.63863,1.62591,1.63737
2024-06-06,1.63307,1.64177,1.63080,1.63307
2024-06-05,1.63397,1.64004,1.62990,1.63397
2024-06-04,1.63725,1.63939,1.63210,1.63725
2024-06-03,1.63030,1.63856,1.62923,1.63030
2024-06-02,1.63052,1.63469,1.62548,1.63052
2024-05-30,1.63363,1.63408,1.62910,1.63363
2024-05-29,1.63320,1.63677,1.63120,1.63320
2024-05-28,1.63233,1.63729,1.62767,1.63233
2024-05-27,1.63194,1.63391,1.62820,1.63194
2024-05-26,1.63757,1.63770,1.62980,1.63757
2024-05-23,1.63791,1.64040,1.63540,1.63791
2024-05-22,1.63539,1.63653,1.63012,1.63539
2024-05-21,1.62814,1.63361,1.62501,1.62814
2024-05-20,1.62770,1.63246,1.62533,1.62770
2024-05-19,1.62260,1.62921,1.62147,1.62260
2024-05-16,1.62647,1.63070,1.62528,1.62647
2024-05-15,1.62516,1.63142,1.62225,1.62516
2024-05-14,1.63250,1.63396,1.62616,1.63250
2024-05-13,1.63256,1.63500,1.63170,1.63256
2024-05-12,1.63159,1.63506,1.62970,1.63159
2024-05-09,1.62909,1.63253,1.62777,1.62909
2024-05-08,1.63398,1.63545,1.62826,1.63398
2024-05-07,1.63100,1.63825,1.63074,1.63100
2024-05-06,1.62548,1.63302,1.62225,1.62548
2024-05-05,1.62771,1.62889,1.62440,1.62771
2024-05-02,1.63284,1.63376,1.62491,1.63284
2024-05-01,1.64080,1.64323,1.63475,1.64080
2024-04-30,1.64688,1.64879,1.64390,1.64688
2024-04-29,1.63295,1.64946,1.63211,1.63295
2024-04-28,1.63674,1.63790,1.62932,1.63674
2024-04-25,1.64449,1.64507,1.63448,1.64449
2024-04-24,1.64682,1.64858,1.64090,1.64682
2024-04-23,1.64933,1.64970,1.64099,1.64933
2024-04-22,1.65110,1.65609,1.64830,1.65110
2024-04-21,1.65859,1.65885,1.65120,1.65820
2024-04-18,1.65664,1.66771,1.65668,1.65664
2024-04-17,1.65683,1.65806,1.65088,1.65683
2024-04-16,1.65623,1.65860,1.65366,1.65623
2024-04-15,1.64929,1.66150,1.64917,1.64929
2024-04-14,1.64380,1.64688,1.64148,1.64380
2024-04-11,1.63996,1.64470,1.63770,1.63996
2024-04-10,1.65064,1.65167,1.64002,1.65064
2024-04-09,1.63821,1.65001,1.63670,1.63821
2024-04-08,1.64449,1.64505,1.63708,1.64449
2024-04-07,1.64837,1.65039,1.64131,1.64837
2024-04-04,1.64494,1.64947,1.64297,1.64494
2024-04-03,1.64996,1.65033,1.64140,1.64996
2024-04-02,1.65295,1.65629,1.65020,1.65295
2024-04-01,1.65490,1.65541,1.64850,1.65490
2024-03-31,1.65197,1.65634,1.65093,1.65197
2024-03-28,1.65553,1.65668,1.65141,1.65553
2024-03-27,1.65777,1.66221,1.65513,1.65777
2024-03-26,1.65652,1.66202,1.65600,1.65652
2024-03-25,1.65745,1.65918,1.65463,1.65745
2024-03-24,1.66650,1.66650,1.65540,1.66650
2024-03-21,1.65279,1.66208,1.65180,1.65279
2024-03-20,1.65769,1.65843,1.64768,1.65769
2024-03-19,1.66439,1.66546,1.66134,1.66439
2024-03-18,1.65800,1.66780,1.65690,1.65800
2024-03-17,1.65939,1.66048,1.65709,1.65939
2024-03-14,1.65412,1.66092,1.65413,1.65412
2024-03-13,1.65260,1.65659,1.65068,1.65260
2024-03-12,1.65375,1.65536,1.65100,1.65375
2024-03-11,1.65242,1.65582,1.64774,1.65223
2024-03-10,1.65188,1.65636,1.65110,1.65188
2024-03-07,1.65373,1.65503,1.64400,1.65373
2024-03-06,1.65930,1.66014,1.64422,1.65930
2024-03-05,1.66911,1.67088,1.65823,1.66911
2024-03-04,1.66797,1.67429,1.66650,1.66797
2024-03-03,1.66087,1.66752,1.65920,1.66087
2024-02-29,1.66267,1.66539,1.65824,1.66267
2024-02-28,1.66877,1.66971,1.66036,1.66875
2024-02-27,1.65675,1.66932,1.65557,1.65675
2024-02-26,1.65918,1.66262,1.64987,1.65927
2024-02-25,1.64826,1.66039,1.64813,1.64794
2024-02-22,1.65030,1.65119,1.64606,1.65030
2024-02-21,1.65110,1.65373,1.64373,1.65110
2024-02-20,1.64961,1.65313,1.64560,1.64961
2024-02-19,1.64984,1.65038,1.64525,1.64984
2024-02-18,1.64957,1.64958,1.64600,1.64953
2024-02-15,1.65096,1.65381,1.64830,1.65096
2024-02-14,1.65128,1.65582,1.65060,1.65128
2024-02-13,1.65925,1.66055,1.65146,1.65925
2024-02-12,1.64988,1.65974,1.64910,1.64920
2024-02-11,1.65483,1.65619,1.64770,1.65483
2024-02-08,1.65820,1.66053,1.65162,1.65820
2024-02-07,1.65232,1.66067,1.65060,1.65232
2024-02-06,1.64761,1.65164,1.64540,1.64761
2024-02-05,1.65752,1.65777,1.64897,1.65752
2024-02-04,1.65702,1.65990,1.65228,1.65702
2024-02-01,1.65390,1.65771,1.64633,1.65390
2024-01-31,1.64642,1.66038,1.64383,1.64642
2024-01-30,1.64417,1.64994,1.64136,1.64417
2024-01-29,1.63793,1.64756,1.63502,1.63793
2024-01-28,1.64817,1.64918,1.63755,1.64817
2024-01-25,1.64757,1.65021,1.64310,1.64757
2024-01-24,1.65482,1.65685,1.64323,1.65482
2024-01-23,1.64860,1.65415,1.64770,1.64860
