,Open,High,Low,Close
2024-06-13,1.48368,1.48610,1.47480,1.47516
2024-06-12,1.48224,1.48455,1.48224,1.48449
2024-06-09,1.48298,1.48368,1.47810,1.48298
2024-06-06,1.48864,1.49068,1.48453,1.48864
2024-06-05,1.48855,1.49211,1.48760,1.48855
2024-06-04,1.48817,1.49269,1.48540,1.48817
2024-06-03,1.48649,1.48935,1.48530,1.48649
2024-06-02,1.47800,1.48412,1.47680,1.47800
2024-05-30,1.48209,1.48385,1.47790,1.48209
2024-05-29,1.48166,1.48405,1.48080,1.48166
2024-05-28,1.48092,1.48456,1.47925,1.48092
2024-05-27,1.48028,1.48344,1.47980,1.48028
2024-05-26,1.48267,1.48365,1.47910,1.48267
2024-05-23,1.48480,1.48820,1.48220,1.48480
2024-05-22,1.48188,1.48391,1.47882,1.48188
2024-05-21,1.48062,1.48292,1.47880,1.48062
2024-05-20,1.47950,1.48337,1.47898,1.47950
2024-05-19,1.47953,1.48113,1.47730,1.47953
2024-05-16,1.47959,1.48024,1.47713,1.47959
2024-05-15,1.48043,1.48210,1.47920,1.48043
2024-05-14,1.47645,1.48138,1.47490,1.47645
2024-05-13,1.47495,1.47725,1.47400,1.47495
2024-05-12,1.47302,1.47726,1.47260,1.47302
2024-05-09,1.47465,1.47570,1.46940,1.47465
2024-05-08,1.47518,1.47611,1.47196,1.47518
2024-05-07,1.47580,1.47867,1.47456,1.47580
2024-05-06,1.47190,1.47739,1.47140,1.47190
2024-05-05,1.47289,1.47404,1.47100,1.47289
2024-05-02,1.46628,1.47450,1.46580,1.46628
2024-05-01,1.47071,1.47098,1.46435,1.47071
2024-04-30,1.46948,1.47126,1.46730,1.46948
2024-04-29,1.46439,1.47252,1.46320,1.46439
2024-04-28,1.46208,1.46445,1.46077,1.46208
2024-04-25,1.46519,1.46645,1.46098,1.46519
2024-04-24,1.46624,1.46900,1.46470,1.46624
2024-04-23,1.46160,1.46703,1.46060,1.46160
2024-04-22,1.45955,1.46400,1.45804,1.45955
2024-04-21,1.46390,1.46453,1.45859,1.46430
2024-04-18,1.46554,1.46800,1.46370,1.46554
2024-04-17,1.46932,1.46969,1.46538,1.46932
2024-04-16,1.46766,1.46981,1.46690,1.46766
2024-04-15,1.46481,1.47275,1.46380,1.46481
2024-04-14,1.46500,1.46638,1.46080,1.46500
2024-04-11,1.46810,1.46854,1.46195,1.46810
2024-04-10,1.47034,1.47071,1.46680,1.47034
2024-04-09,1.47383,1.47387,1.46716,1.47383
2024-04-08,1.47397,1.47627,1.47300,1.47397
2024-04-07,1.47334,1.47498,1.47070,1.47334
2024-04-04,1.46768,1.47406,1.46754,1.46768
2024-04-03,1.46565,1.46690,1.46442,1.46565
2024-04-02,1.46060,1.46426,1.46050,1.46060
2024-04-01,1.45739,1.46243,1.45463,1.45739
2024-03-31,1.45934,1.46255,1.45725,1.45934
2024-03-28,1.46065,1.46321,1.45830,1.46065
2024-03-27,1.46896,1.46985,1.46134,1.46896
2024-03-26,1.47096,1.47346,1.46800,1.47096
2024-03-25,1.47226,1.47378,1.46906,1.47226
2024-03-24,1.47104,1.47237,1.46950,1.47104
2024-03-21,1.46928,1.47199,1.46640,1.46928
2024-03-20,1.47331,1.47450,1.46913,1.47331
2024-03-19,1.47443,1.47637,1.47190,1.47443
2024-03-18,1.47170,1.47786,1.47117,1.47170
2024-03-17,1.47412,1.47672,1.47287,1.47412
2024-03-14,1.47329,1.47492,1.47080,1.47329
2024-03-13,1.47493,1.47481,1.47140,1.47493
2024-03-12,1.47432,1.47623,1.47265,1.47432
2024-03-11,1.47311,1.47477,1.47150,1.47317
2024-03-10,1.47555,1.47650,1.47293,1.47555
2024-03-07,1.47311,1.47510,1.46812,1.47311
2024-03-06,1.47263,1.47395,1.46597,1.47263
2024-03-05,1.47523,1.47790,1.47240,1.47523
2024-03-04,1.47334,1.47605,1.47200,1.47334
2024-03-03,1.46935,1.47462,1.46870,1.46935
2024-02-29,1.46651,1.47034,1.46599,1.46651
2024-02-28,1.47152,1.47475,1.46597,1.47148
2024-02-27,1.46700,1.47180,1.46600,1.46700
2024-02-26,1.46491,1.46841,1.46280,1.46514
2024-02-25,1.46168,1.46775,1.46110,1.46140
2024-02-22,1.45935,1.46253,1.45782,1.45935
2024-02-21,1.46033,1.46319,1.45788,1.46033
2024-02-20,1.46181,1.46223,1.45960,1.46181
2024-02-19,1.45457,1.46463,1.45300,1.45457
2024-02-18,1.45341,1.45357,1.45100,1.45351
2024-02-15,1.45066,1.45293,1.44923,1.45066
2024-02-14,1.45290,1.45581,1.45169,1.45290
2024-02-13,1.45257,1.45464,1.44790,1.45257
2024-02-12,1.44936,1.45418,1.44685,1.44920
2024-02-11,1.45312,1.45336,1.44720,1.45312
2024-02-08,1.45047,1.45342,1.44745,1.45047
2024-02-07,1.45040,1.45190,1.44836,1.45040
2024-02-06,1.45095,1.45240,1.44820,1.45095
2024-02-05,1.45440,1.45475,1.45100,1.45440
2024-02-04,1.45202,1.45341,1.44946,1.45202
2024-02-01,1.45533,1.45692,1.45085,1.45533
2024-01-31,1.45145,1.45525,1.45032,1.45145
2024-01-30,1.45310,1.45697,1.45014,1.45310
2024-01-29,1.45270,1.45673,1.44940,1.45270
2024-01-28,1.45877,1.45944,1.45225,1.45877
2024-01-25,1.46183,1.46246,1.45709,1.46183
2024-01-24,1.47171,1.47337,1.46150,1.47171
2024-01-23,1.46090,1.47031,1.46060,1.46090
