,Open,High,Low,Close
2024-06-13,1.74721,1.75211,1.73881,1.74100
2024-06-12,1.74840,1.75250,1.74190,1.74737
2024-06-11,1.75646,1.75975,1.74666,1.74840
2024-06-10,1.76350,1.76680,1.75464,1.75634
2024-06-07,1.75631,1.76993,1.75533,1.76958
2024-06-06,1.75492,1.76235,1.75222,1.75629
2024-06-05,1.75993,1.76270,1.75359,1.75526
2024-06-04,1.75967,1.76509,1.75814,1.75995
2024-06-03,1.76578,1.76857,1.75703,1.76078
2024-05-31,1.77136,1.77173,1.76372,1.76511
2024-05-30,1.76597,1.77282,1.76530,1.77144
2024-05-29,1.76759,1.77191,1.76396,1.76583
2024-05-28,1.76443,1.76951,1.76202,1.76752
2024-05-27,1.77145,1.77228,1.76335,1.76415
2024-05-24,1.77233,1.77619,1.77052,1.77153
2024-05-23,1.77491,1.77577,1.76857,1.77264
2024-05-22,1.78022,1.78167,1.76528,1.77533
2024-05-21,1.77791,1.78201,1.77669,1.78024
2024-05-20,1.77110,1.78046,1.77044,1.77783
2024-05-17,1.77495,1.77786,1.77066,1.77177
2024-05-16,1.77799,1.78094,1.77354,1.77492
2024-05-15,1.79085,1.79119,1.77614,1.77808
2024-05-14,1.79331,1.79646,1.78869,1.79073
2024-05-13,1.78936,1.79466,1.78818,1.79343
2024-05-10,1.78646,1.79258,1.78494,1.78885
2024-05-09,1.78938,1.79257,1.78554,1.78662
2024-05-08,1.79154,1.79657,1.78822,1.78940
2024-05-07,1.79141,1.79297,1.78834,1.79164
2024-05-06,1.79044,1.79513,1.78746,1.79134
2024-05-03,1.79836,1.80057,1.78413,1.79020
2024-05-02,1.80616,1.81026,1.79740,1.79838
2024-05-01,1.81048,1.81554,1.80527,1.80619
2024-04-30,1.79326,1.81221,1.79216,1.81063
2024-04-29,1.79814,1.80173,1.79190,1.79327
2024-04-26,1.80287,1.80406,1.79551,1.79985
2024-04-25,1.80206,1.80587,1.79748,1.80290
2024-04-24,1.80318,1.80471,1.79840,1.80102
2024-04-23,1.79928,1.80750,1.79765,1.80318
2024-04-22,1.80778,1.80954,1.79789,1.79924
2024-04-19,1.80257,1.81344,1.80158,1.80843
2024-04-18,1.80334,1.80553,1.79814,1.80211
2024-04-17,1.80498,1.81078,1.79592,1.80322
2024-04-16,1.79918,1.81014,1.79821,1.80512
2024-04-15,1.79021,1.80064,1.78894,1.79899
2024-04-12,1.78810,1.79330,1.78411,1.79231
2024-04-11,1.79717,1.79841,1.78626,1.78806
2024-04-10,1.79175,1.79915,1.78490,1.79714
2024-04-09,1.79974,1.80050,1.78998,1.79149
2024-04-08,1.80307,1.80446,1.79639,1.79982
2024-04-05,1.79816,1.80441,1.79690,1.80184
2024-04-04,1.80246,1.80319,1.79522,1.79784
2024-04-03,1.80348,1.80883,1.80167,1.80277
2024-04-02,1.80382,1.80649,1.80077,1.80319
2024-04-01,1.80373,1.80722,1.80075,1.80396
2024-03-29,1.80540,1.80651,1.80173,1.80465
2024-03-28,1.80298,1.80986,1.80222,1.80540
2024-03-27,1.80330,1.80771,1.79985,1.80294
2024-03-26,1.80464,1.80715,1.80005,1.80331
2024-03-25,1.80223,1.80630,1.79921,1.80464
2024-03-22,1.79658,1.80405,1.79500,1.80250
2024-03-21,1.80028,1.80039,1.78884,1.79659
2024-03-20,1.79440,1.80307,1.79202,1.80039
2024-03-19,1.78633,1.79696,1.78528,1.79431
2024-03-18,1.78869,1.78993,1.78387,1.78632
2024-03-15,1.77524,1.78987,1.77439,1.78910
2024-03-14,1.77775,1.77870,1.77203,1.77528
2024-03-13,1.77630,1.77890,1.77090,1.77723
2024-03-12,1.77060,1.77735,1.76904,1.77630
2024-03-11,1.77006,1.77448,1.76701,1.77066
2024-03-08,1.77251,1.77656,1.76490,1.77017
2024-03-07,1.77718,1.77900,1.76242,1.77266
2024-03-06,1.78286,1.78690,1.77601,1.77742
2024-03-05,1.78073,1.78679,1.77762,1.78285
2024-03-04,1.77387,1.78220,1.77249,1.77961
2024-03-01,1.77477,1.77745,1.77161,1.77392
2024-02-29,1.77634,1.78371,1.77346,1.77423
2024-02-28,1.75647,1.78119,1.75521,1.77646
2024-02-27,1.75733,1.76343,1.75566,1.75607
2024-02-26,1.74751,1.75903,1.74511,1.75720
2024-02-23,1.74673,1.75042,1.74401,1.74592
2024-02-22,1.75009,1.75164,1.74413,1.74687
2024-02-21,1.75293,1.75386,1.74396,1.74992
2024-02-20,1.75155,1.75572,1.74827,1.75292
2024-02-19,1.75979,1.75981,1.75104,1.75163
2024-02-16,1.76366,1.76729,1.75710,1.75923
2024-02-15,1.76170,1.76440,1.75753,1.76345
2024-02-14,1.76659,1.76985,1.75894,1.76169
2024-02-13,1.75627,1.76994,1.75522,1.76589
2024-02-12,1.75401,1.76202,1.75189,1.75687
2024-02-09,1.76681,1.76835,1.75105,1.75311
2024-02-08,1.76135,1.76940,1.75979,1.76679
2024-02-07,1.76272,1.76552,1.75888,1.76218
2024-02-06,1.77373,1.77537,1.76215,1.76287
2024-02-05,1.77644,1.78103,1.77150,1.77397
2024-02-02,1.76882,1.77969,1.76602,1.77780
2024-02-01,1.76704,1.77715,1.76191,1.76872
2024-01-31,1.76671,1.77161,1.76155,1.76809
2024-01-30,1.76558,1.77416,1.75968,1.76679
2024-01-29,1.77864,1.78141,1.76368,1.76558
2024-01-26,1.77414,1.78220,1.77251,1.78186
