,Open,High,Low,Close
2024-06-13,1.08128,1.08164,1.07326,1.07381
2024-06-12,1.08132,1.08178,1.08132,1.08167
2024-06-09,1.07789,1.07828,1.07336,1.07789
2024-06-06,1.08944,1.09018,1.08050,1.08944
2024-06-05,1.08745,1.08987,1.08637,1.08745
2024-06-04,1.08819,1.08899,1.08610,1.08819
2024-06-03,1.09074,1.09182,1.08607,1.09074
2024-06-02,1.08530,1.08909,1.08280,1.08530
2024-05-30,1.08354,1.08826,1.08116,1.08354
2024-05-29,1.08018,1.08460,1.07890,1.08018
2024-05-28,1.08519,1.08589,1.08095,1.08519
2024-05-27,1.08619,1.08895,1.08591,1.08619
2024-05-26,1.08476,1.08672,1.08418,1.08476
2024-05-23,1.08127,1.08566,1.08061,1.08127
2024-05-22,1.08252,1.08613,1.08130,1.08252
2024-05-21,1.08552,1.08648,1.08225,1.08552
2024-05-20,1.08608,1.08755,1.08460,1.08608
2024-05-19,1.08755,1.08849,1.08550,1.08755
2024-05-16,1.08678,1.08789,1.08363,1.08678
2024-05-15,1.08898,1.08968,1.08552,1.08898
2024-05-14,1.08146,1.08743,1.08136,1.08146
2024-05-13,1.07935,1.08284,1.07764,1.07935
2024-05-12,1.07704,1.08073,1.07665,1.07704
2024-05-09,1.07852,1.07933,1.07621,1.07852
2024-05-08,1.07469,1.07828,1.07251,1.07469
2024-05-07,1.07505,1.07585,1.07357,1.07505
2024-05-06,1.07675,1.07898,1.07558,1.07675
2024-05-05,1.07581,1.07921,1.07564,1.07581
2024-05-02,1.07331,1.08094,1.07250,1.07331
2024-05-01,1.07216,1.07308,1.06758,1.07216
2024-04-30,1.06665,1.06887,1.06501,1.06665
2024-04-29,1.07157,1.07365,1.06843,1.07157
2024-04-28,1.07069,1.07354,1.06910,1.07069
2024-04-25,1.07296,1.07529,1.06756,1.07296
2024-04-24,1.06999,1.07319,1.06787,1.06999
2024-04-23,1.07044,1.07158,1.06792,1.07044
2024-04-22,1.06540,1.07100,1.06393,1.06540
2024-04-21,1.06578,1.06712,1.06251,1.06583
2024-04-18,1.06442,1.06803,1.06118,1.06442
2024-04-17,1.06694,1.06918,1.06478,1.06694
2024-04-16,1.06215,1.06527,1.06082,1.06215
2024-04-15,1.06258,1.06540,1.06041,1.06258
2024-04-14,1.06496,1.06655,1.06236,1.06496
2024-04-11,1.07269,1.07296,1.06237,1.07269
2024-04-10,1.07417,1.07558,1.07004,1.07417
2024-04-09,1.08593,1.08684,1.07338,1.08593
2024-04-08,1.08637,1.08885,1.08499,1.08637
2024-04-07,1.08305,1.08584,1.08216,1.08305
2024-04-04,1.08370,1.08485,1.07917,1.08370
2024-04-03,1.08384,1.08758,1.08351,1.08384
2024-04-02,1.07685,1.08319,1.07647,1.07685
2024-04-01,1.07372,1.07788,1.07254,1.07372
2024-03-31,1.07927,1.08015,1.07316,1.07927
2024-03-28,1.07945,1.08073,1.07689,1.07945
2024-03-27,1.08134,1.08284,1.07755,1.08134
2024-03-26,1.08324,1.08393,1.08117,1.08324
2024-03-25,1.08382,1.08641,1.08260,1.08382
2024-03-24,1.08075,1.08436,1.08026,1.08075
2024-03-21,1.08624,1.08696,1.08091,1.08624
2024-03-20,1.09372,1.09445,1.08565,1.09372
2024-03-19,1.08633,1.08743,1.08369,1.08633
2024-03-18,1.08739,1.08778,1.08351,1.08739
2024-03-17,1.08826,1.09075,1.08808,1.08826
2024-03-14,1.08834,1.09016,1.08738,1.08834
2024-03-13,1.09553,1.09547,1.08841,1.09553
2024-03-12,1.09278,1.09493,1.09205,1.09278
2024-03-11,1.09313,1.09421,1.09032,1.09313
2024-03-10,1.09430,1.09505,1.09146,1.09430
2024-03-07,1.09501,1.09780,1.09271,1.09501
2024-03-06,1.08995,1.09409,1.08693,1.08995
2024-03-05,1.08560,1.09140,1.08429,1.08560
2024-03-04,1.08552,1.08754,1.08427,1.08552
2024-03-03,1.08427,1.08665,1.08386,1.08427
2024-02-29,1.08050,1.08415,1.07993,1.08050
2024-02-28,1.08388,1.08559,1.08057,1.08388
2024-02-27,1.08448,1.08472,1.07987,1.08448
2024-02-26,1.08509,1.08661,1.08336,1.08509
2024-02-25,1.08196,1.08591,1.08134,1.08201
2024-02-22,1.08257,1.08394,1.08137,1.08257
2024-02-21,1.08204,1.08862,1.08051,1.08204
2024-02-20,1.08132,1.08225,1.07919,1.08132
2024-02-19,1.07754,1.08386,1.07625,1.07754
2024-02-18,1.07845,1.07898,1.07630,1.07849
2024-02-15,1.07739,1.07805,1.07344,1.07739
2024-02-14,1.07322,1.07863,1.07252,1.07322
2024-02-13,1.07089,1.07344,1.06955,1.07089
2024-02-12,1.07723,1.07956,1.07021,1.07723
2024-02-11,1.07982,1.08054,1.07577,1.07982
2024-02-08,1.07773,1.07945,1.07639,1.07773
2024-02-07,1.07757,1.07898,1.07431,1.07757
2024-02-06,1.07572,1.07844,1.07564,1.07572
2024-02-05,1.07418,1.07631,1.07245,1.07418
2024-02-04,1.07800,1.07875,1.07247,1.07800
2024-02-01,1.08746,1.08980,1.07831,1.08746
2024-01-31,1.08039,1.08655,1.07803,1.08039
2024-01-30,1.08434,1.08857,1.08077,1.08434
2024-01-29,1.08345,1.08556,1.08127,1.08345
2024-01-28,1.08435,1.08498,1.07971,1.08435
2024-01-25,1.08471,1.08833,1.08134,1.08471
2024-01-24,1.08817,1.09004,1.08261,1.08817
2024-01-23,1.08579,1.09315,1.08519,1.08579
