,Open,High,Low,Close
2024-06-13,1.75529,1.75798,1.75184,1.75320
2024-06-12,1.75208,1.76048,1.75094,1.75528
2024-06-11,1.74982,1.75594,1.74928,1.75208
2024-06-10,1.75024,1.75276,1.74795,1.75062
2024-06-07,1.74830,1.75243,1.74496,1.75092
2024-06-06,1.75031,1.75168,1.74672,1.74812
2024-06-05,1.74666,1.75338,1.74558,1.75045
2024-06-04,1.74438,1.75052,1.74438,1.74646
2024-06-03,1.73603,1.74636,1.73355,1.74502
2024-05-31,1.74133,1.74215,1.73227,1.73630
2024-05-30,1.74199,1.74492,1.73963,1.74119
2024-05-29,1.74076,1.74422,1.74036,1.74201
2024-05-28,1.74037,1.74405,1.73891,1.74111
2024-05-27,1.74065,1.74225,1.73947,1.74049
2024-05-24,1.74341,1.74525,1.73862,1.74033
2024-05-23,1.74089,1.74392,1.73773,1.74326
2024-05-22,1.73326,1.74191,1.73217,1.74103
2024-05-21,1.73100,1.73707,1.73061,1.73314
2024-05-20,1.72801,1.73243,1.72727,1.73095
2024-05-17,1.72486,1.73029,1.72401,1.72855
2024-05-16,1.72499,1.72753,1.72339,1.72486
2024-05-15,1.71833,1.72585,1.71675,1.72516
2024-05-14,1.71622,1.71963,1.71123,1.71855
2024-05-13,1.71133,1.71815,1.71078,1.71627
2024-05-10,1.71254,1.71568,1.70716,1.71158
2024-05-09,1.71442,1.71546,1.70836,1.71257
2024-05-08,1.71639,1.71877,1.71299,1.71433
2024-05-07,1.71661,1.71995,1.71414,1.71622
2024-05-06,1.71531,1.72117,1.71466,1.71659
2024-05-03,1.71336,1.72000,1.71318,1.71682
2024-05-02,1.71970,1.72135,1.71058,1.71289
2024-05-01,1.72047,1.72186,1.71689,1.71998
2024-04-30,1.71586,1.72254,1.71271,1.72037
2024-04-29,1.70639,1.71653,1.70595,1.71577
2024-04-26,1.70862,1.71059,1.70436,1.70771
2024-04-25,1.70726,1.71305,1.70636,1.70877
2024-04-24,1.70017,1.70795,1.69937,1.70726
2024-04-23,1.69141,1.70251,1.69004,1.70028
2024-04-22,1.69996,1.70106,1.68862,1.69140
2024-04-19,1.71245,1.71447,1.69980,1.70074
2024-04-18,1.71466,1.71676,1.71106,1.71217
2024-04-17,1.71824,1.72337,1.71353,1.71469
2024-04-16,1.71576,1.72397,1.71331,1.71825
2024-04-15,1.71308,1.71703,1.71222,1.71583
2024-04-12,1.71862,1.71938,1.71018,1.71476
2024-04-11,1.71488,1.71920,1.71428,1.71857
2024-04-10,1.71998,1.72360,1.71293,1.71491
2024-04-09,1.71740,1.72403,1.71680,1.72023
2024-04-08,1.71641,1.71926,1.71416,1.71742
2024-04-05,1.71161,1.71829,1.71086,1.71731
2024-04-04,1.71100,1.71346,1.70729,1.71158
2024-04-03,1.70585,1.71232,1.70332,1.71102
2024-04-02,1.70314,1.70759,1.70229,1.70583
2024-04-01,1.70909,1.71087,1.70198,1.70340
2024-03-29,1.70855,1.71256,1.70708,1.70918
2024-03-28,1.71411,1.71619,1.70691,1.70865
2024-03-27,1.71500,1.71783,1.71225,1.71410
2024-03-26,1.71613,1.71883,1.71283,1.71502
2024-03-25,1.71341,1.71866,1.71236,1.71642
2024-03-22,1.71187,1.71493,1.70689,1.71477
2024-03-21,1.72514,1.72534,1.71108,1.71187
2024-03-20,1.72501,1.72801,1.72178,1.72516
2024-03-19,1.72228,1.72905,1.71981,1.72512
2024-03-18,1.72362,1.72593,1.72078,1.72235
2024-03-15,1.72544,1.72655,1.72109,1.72514
2024-03-14,1.72379,1.72633,1.72158,1.72530
2024-03-13,1.72545,1.72744,1.72175,1.72376
2024-03-12,1.72753,1.72803,1.72109,1.72563
2024-03-11,1.73291,1.73389,1.72554,1.72753
2024-03-08,1.72341,1.73441,1.72058,1.73300
2024-03-07,1.71980,1.72461,1.71891,1.72363
2024-03-06,1.72688,1.72930,1.71965,1.72029
2024-03-05,1.72154,1.72781,1.72071,1.72682
2024-03-04,1.71569,1.72365,1.71289,1.72254
2024-03-01,1.71392,1.71746,1.71191,1.71553
2024-02-29,1.71890,1.72195,1.71214,1.71393
2024-02-28,1.71588,1.71996,1.71386,1.71890
2024-02-27,1.71296,1.71719,1.70941,1.71588
2024-02-26,1.71003,1.71643,1.70917,1.71280
2024-02-23,1.70645,1.71279,1.70513,1.71121
2024-02-22,1.70607,1.70870,1.70158,1.70665
2024-02-21,1.70678,1.70828,1.70353,1.70648
2024-02-20,1.69822,1.71301,1.69689,1.70677
2024-02-19,1.69889,1.70145,1.69721,1.69859
2024-02-16,1.69601,1.70101,1.69422,1.69921
2024-02-15,1.70120,1.70245,1.69600,1.69636
2024-02-14,1.70784,1.70923,1.69722,1.70165
2024-02-13,1.69851,1.71123,1.69569,1.70758
2024-02-12,1.69908,1.70206,1.69571,1.69851
2024-02-09,1.69755,1.70237,1.69117,1.69959
2024-02-08,1.69966,1.70096,1.69525,1.69781
2024-02-07,1.69921,1.70329,1.69736,1.69941
2024-02-06,1.69623,1.70171,1.69522,1.69921
2024-02-05,1.70026,1.70176,1.69423,1.69665
2024-02-02,1.70553,1.70788,1.69852,1.70071
2024-02-01,1.70436,1.70690,1.69721,1.70569
2024-01-31,1.70083,1.70573,1.69892,1.70436
2024-01-30,1.70455,1.70519,1.69773,1.70125
2024-01-29,1.70815,1.70949,1.70380,1.70465
2024-01-26,1.71177,1.71375,1.70713,1.70762
