,Open,High,Low,Close
2024-06-13,200.65400,201.31400,199.68400,200.41000
2024-06-12,200.38600,200.75101,200.33900,200.57800
2024-06-09,199.61000,199.91800,198.93500,199.61000
2024-06-06,199.16499,199.78900,198.41000,199.16499
2024-06-05,199.48500,199.93401,199.04500,199.48500
2024-06-04,198.11999,199.72000,198.11301,198.11999
2024-06-03,199.92000,200.40401,197.20200,199.92000
2024-06-02,200.31100,200.63699,199.23100,200.31100
2024-05-30,199.78600,200.26000,199.23200,199.78600
2024-05-29,200.11900,200.14800,198.75000,200.11900
2024-05-28,200.63100,200.72900,200.06900,200.63100
2024-05-27,200.30901,200.60800,200.16100,200.30901
2024-05-26,199.78101,200.38001,199.59000,199.78101
2024-05-23,199.22301,200.08000,199.12700,199.22301
2024-05-22,199.33900,199.87100,199.14900,199.33900
2024-05-21,198.60500,199.52901,198.52000,198.60500
2024-05-20,198.74600,198.88500,198.27901,198.74600
2024-05-19,197.89999,198.44099,197.40401,197.89999
2024-05-16,196.88400,197.61301,196.80499,196.88400
2024-05-15,195.76700,196.85800,195.05000,195.76700
2024-05-14,196.94701,197.08099,196.06500,196.94701
2024-05-13,196.24000,197.04201,195.74499,196.24000
2024-05-12,195.11900,196.19000,194.85600,195.11900
2024-05-09,194.62300,195.27901,194.62100,194.62300
2024-05-08,194.15900,194.84900,193.91400,194.15900
2024-05-07,193.44701,194.39101,193.35899,193.44701
2024-05-06,193.71699,194.11301,193.02000,193.71699
2024-05-05,192.57600,193.63400,192.44099,192.57600
2024-05-02,191.91299,192.51900,191.40500,191.91299
2024-05-01,195.20300,195.73500,191.89700,195.20300
2024-04-30,196.98200,197.40601,196.57001,196.98200
2024-04-29,196.31799,197.35300,196.12199,196.31799
2024-04-28,197.91100,200.28301,193.63400,197.91100
2024-04-25,194.61700,196.67600,194.40700,194.61700
2024-04-24,193.43700,194.93784,193.44701,193.43700
2024-04-23,192.69501,192.94299,192.42400,192.69501
2024-04-22,191.18300,192.75501,190.83600,191.18300
2024-04-21,191.36700,191.68401,190.31900,191.36500
2024-04-18,192.27100,192.71400,190.35400,192.27100
2024-04-17,192.20200,192.77499,191.90700,192.20200
2024-04-16,192.28999,192.83099,192.00900,192.28999
2024-04-15,191.92999,192.78900,191.66100,191.92999
2024-04-14,191.01000,192.67999,190.88800,191.01000
2024-04-11,192.31700,192.38100,190.02300,192.31700
2024-04-10,191.74000,192.56700,191.57201,191.74000
2024-04-09,192.39999,192.88800,191.67200,192.39999
2024-04-08,192.18500,192.82300,192.10899,192.18500
2024-04-07,191.50000,192.13100,191.36900,191.50000
2024-04-04,191.23000,191.52600,190.69501,191.23000
2024-04-03,191.76100,192.23700,191.72200,191.76100
2024-04-02,190.58000,191.67000,190.42900,190.58000
2024-04-01,190.17200,190.70500,190.07201,190.17200
2024-03-31,191.30000,191.33299,190.28500,191.30000
2024-03-28,191.15300,191.20300,190.77000,191.15300
2024-03-27,190.81000,191.25600,190.56599,190.81000
2024-03-26,191.21800,191.61000,190.51401,191.21800
2024-03-25,191.28400,191.67101,191.12100,191.28400
2024-03-24,190.67772,191.49200,190.60001,190.67772
2024-03-21,191.97501,192.18300,190.40601,191.97501
2024-03-20,192.93600,193.47700,191.90601,192.93600
2024-03-19,192.09599,192.82500,192.05200,192.09599
2024-03-18,189.80400,191.64500,189.72000,189.80400
2024-03-17,189.63001,190.14200,189.62311,189.63001
2024-03-14,188.99899,189.98599,188.59700,188.99899
2024-03-13,188.94000,189.50501,188.65801,188.94000
2024-03-12,188.87199,189.51800,188.43100,188.87199
2024-03-11,188.09700,189.18100,187.99100,188.09700
2024-03-10,188.67097,188.96300,187.96600,188.67097
2024-03-07,189.46500,189.68700,188.39200,189.46500
2024-03-06,190.09100,190.09100,188.23100,190.09100
2024-03-05,190.61999,190.67600,189.87601,190.61999
2024-03-04,190.93201,191.01900,190.41000,190.93201
2024-03-03,190.03000,191.18500,189.78700,190.03000
2024-02-29,189.48300,190.37399,189.47301,189.48300
2024-02-28,190.75000,190.75000,189.05600,190.66901
2024-02-27,190.83400,190.89200,190.27499,190.83400
2024-02-26,190.94000,190.96600,190.40300,190.96699
2024-02-25,190.68100,191.30000,190.31900,190.70700
2024-02-22,190.53900,191.13699,190.38600,190.53900
2024-02-21,189.99000,190.81100,189.85700,189.99000
2024-02-20,189.30901,189.74100,189.14000,189.30901
2024-02-19,189.11400,189.70000,189.05800,189.11400
2024-02-18,189.33400,189.38901,188.91000,189.27100
2024-02-15,188.89101,189.24100,188.85001,188.89101
2024-02-14,189.19501,189.21201,188.14000,189.19501
2024-02-13,189.72900,189.81599,188.75501,189.72900
2024-02-12,188.63100,189.98801,188.42999,188.63300
2024-02-11,188.49200,188.70300,187.86800,188.49200
2024-02-08,188.35400,188.84399,188.25501,188.35400
2024-02-07,186.98399,188.42900,186.86500,186.98399
2024-02-06,186.28000,187.25200,186.25000,186.28000
2024-02-05,186.30100,186.75900,186.17600,186.30100
2024-02-04,187.42700,187.57001,186.18800,187.42700
2024-02-01,186.63699,187.71001,186.41000,186.63699
2024-01-31,186.34599,186.55800,185.23900,186.34599
2024-01-30,187.07899,187.56799,185.99600,187.07899
2024-01-29,187.46201,187.45100,186.36200,187.46201
2024-01-28,188.08000,188.28000,187.11301,188.08000
2024-01-25,187.70700,188.54300,187.33400,187.70700
2024-01-24,187.68800,188.17000,187.17700,187.68800
2024-01-23,188.12601,188.45500,187.14300,188.12601
