,Open,High,Low,Close
2024-06-13,0.55281,0.55390,0.55062,0.55100
2024-06-12,0.55106,0.55470,0.54860,0.55308
2024-06-11,0.54868,0.55167,0.54756,0.55080
2024-06-10,0.54712,0.54940,0.54552,0.54819
2024-06-07,0.55083,0.55205,0.54644,0.54672
2024-06-06,0.55298,0.55351,0.54760,0.55098
2024-06-05,0.54957,0.55340,0.54885,0.55292
2024-06-04,0.55432,0.55482,0.54753,0.54972
2024-06-03,0.55379,0.55573,0.55221,0.55438
2024-05-31,0.55204,0.55601,0.54988,0.55416
2024-05-30,0.55814,0.55840,0.55130,0.55197
2024-05-29,0.55978,0.56068,0.55630,0.55824
2024-05-28,0.56176,0.56240,0.55806,0.55978
2024-05-27,0.55914,0.56232,0.55912,0.56176
2024-05-24,0.55723,0.56020,0.55669,0.55965
2024-05-23,0.55766,0.56010,0.55636,0.55722
2024-05-22,0.55498,0.56029,0.55451,0.55750
2024-05-21,0.55562,0.55633,0.55364,0.55486
2024-05-20,0.55748,0.55786,0.55374,0.55553
2024-05-17,0.55407,0.55766,0.55375,0.55754
2024-05-16,0.55171,0.55470,0.54992,0.55415
2024-05-15,0.54709,0.55270,0.54589,0.55175
2024-05-14,0.54612,0.54780,0.54513,0.54715
2024-05-13,0.54433,0.54670,0.54238,0.54581
2024-05-10,0.54630,0.54700,0.54397,0.54545
2024-05-09,0.54490,0.54665,0.54356,0.54622
2024-05-08,0.54490,0.54520,0.54312,0.54490
2024-05-07,0.54429,0.54581,0.54356,0.54490
2024-05-06,0.54335,0.54550,0.54211,0.54429
2024-05-03,0.54249,0.54588,0.54134,0.54367
2024-05-02,0.54258,0.54400,0.53981,0.54242
2024-05-01,0.54094,0.54410,0.54002,0.54274
2024-04-30,0.54377,0.54451,0.53751,0.54111
2024-04-29,0.54245,0.54520,0.54208,0.54379
2024-04-26,0.54204,0.54482,0.54076,0.54271
2024-04-25,0.54264,0.54471,0.53930,0.54204
2024-04-24,0.54024,0.54310,0.54015,0.54270
2024-04-23,0.53940,0.54180,0.53778,0.54040
2024-04-22,0.53557,0.53993,0.53552,0.53941
2024-04-19,0.53824,0.53876,0.52798,0.53587
2024-04-18,0.53869,0.53990,0.53649,0.53837
2024-04-17,0.53632,0.53911,0.53488,0.53851
2024-04-16,0.53797,0.53870,0.53468,0.53646
2024-04-15,0.54180,0.54410,0.53529,0.53808
2024-04-12,0.54536,0.54670,0.54063,0.54263
2024-04-11,0.54512,0.54752,0.54058,0.54547
2024-04-10,0.54695,0.54954,0.54378,0.54513
2024-04-09,0.54569,0.54821,0.54375,0.54695
2024-04-08,0.54168,0.54640,0.54123,0.54583
2024-04-05,0.54305,0.54440,0.53996,0.54228
2024-04-04,0.54222,0.54770,0.53894,0.54312
2024-04-03,0.54185,0.54320,0.53835,0.54235
2024-04-02,0.53798,0.54223,0.53725,0.54194
2024-04-01,0.53835,0.54040,0.53400,0.53808
2024-03-29,0.53856,0.53993,0.53513,0.53840
2024-03-28,0.54252,0.54310,0.53532,0.53863
2024-03-27,0.54250,0.54460,0.54110,0.54244
2024-03-26,0.53948,0.54410,0.53933,0.54244
2024-03-25,0.53731,0.54010,0.53699,0.53971
2024-03-22,0.54221,0.54330,0.53704,0.53771
2024-03-21,0.53738,0.54616,0.53738,0.54227
2024-03-20,0.53711,0.53932,0.53398,0.53748
2024-03-19,0.53948,0.54030,0.53546,0.53736
2024-03-18,0.53699,0.54039,0.53644,0.53952
2024-03-15,0.54127,0.54180,0.53680,0.53700
2024-03-14,0.54073,0.54283,0.53829,0.54131
2024-03-13,0.53910,0.54153,0.53731,0.54085
2024-03-12,0.54104,0.54180,0.53765,0.53936
2024-03-11,0.54134,0.54279,0.53975,0.54102
2024-03-08,0.54153,0.54303,0.53976,0.54190
2024-03-07,0.54031,0.54270,0.53840,0.54180
2024-03-06,0.53752,0.54120,0.53561,0.54030
2024-03-05,0.53883,0.53973,0.53708,0.53753
2024-03-04,0.53960,0.54040,0.53654,0.53905
2024-03-01,0.53819,0.54111,0.53476,0.53919
2024-02-29,0.53552,0.53848,0.53368,0.53812
2024-02-28,0.54205,0.54310,0.53477,0.53562
2024-02-27,0.54291,0.54330,0.54128,0.54189
2024-02-26,0.54460,0.54565,0.54259,0.54297
2024-02-23,0.54481,0.54640,0.54350,0.54578
2024-02-22,0.54350,0.54620,0.54051,0.54505
2024-02-21,0.54339,0.54580,0.53908,0.54336
2024-02-20,0.54222,0.54485,0.53800,0.54337
2024-02-19,0.53840,0.54270,0.53411,0.54226
2024-02-16,0.53699,0.54015,0.53502,0.53899
2024-02-15,0.53869,0.53970,0.53478,0.53710
2024-02-14,0.53755,0.54012,0.53536,0.53880
2024-02-13,0.53650,0.53831,0.53225,0.53738
2024-02-12,0.53670,0.53780,0.53465,0.53661
2024-02-09,0.53238,0.53859,0.52920,0.53775
2024-02-08,0.53398,0.53454,0.53047,0.53234
2024-02-07,0.52975,0.53451,0.52832,0.53404
2024-02-06,0.52672,0.53037,0.52556,0.53035
2024-02-05,0.52520,0.52795,0.52220,0.52705
2024-02-02,0.52669,0.52766,0.52393,0.52543
2024-02-01,0.52642,0.52940,0.52415,0.52685
2024-01-31,0.52856,0.53001,0.52538,0.52651
2024-01-30,0.52806,0.52980,0.52410,0.52865
2024-01-29,0.52584,0.52891,0.52201,0.52810
2024-01-26,0.52942,0.52993,0.52523,0.52566
