,Open,High,Low,Close
2024-06-13,96.99400,97.21900,96.55600,96.83200
2024-06-12,96.84700,97.01400,96.76400,96.80800
2024-06-09,95.75000,96.11000,95.67600,95.75000
2024-06-06,96.47000,96.59200,95.55200,96.47000
2024-06-05,96.60400,96.73200,96.42400,96.60400
2024-06-04,95.76700,96.74300,95.76400,95.76700
2024-06-03,96.65300,96.84000,95.26300,96.65300
2024-06-02,96.62800,96.79900,96.28700,96.62800
2024-05-30,95.98500,96.59100,95.84800,95.98500
2024-05-29,96.34200,96.35200,95.40300,96.34200
2024-05-28,96.55400,96.66100,96.25500,96.55400
2024-05-27,96.48100,96.73600,96.45000,96.48100
2024-05-26,96.01600,96.51300,95.93024,96.01600
2024-05-23,95.69900,96.08900,95.61200,95.69900
2024-05-22,95.57000,96.11800,95.58700,95.57000
2024-05-21,95.20100,96.10300,95.01900,95.20100
2024-05-20,95.49800,95.57000,95.09200,95.49800
2024-05-19,95.57200,95.59900,95.06600,95.57200
2024-05-16,95.13900,95.37700,95.08000,95.13900
2024-05-15,94.57000,95.04300,94.17200,94.57000
2024-05-14,94.56100,94.80300,93.97800,94.56100
2024-05-13,94.07000,94.46800,93.99281,94.07000
2024-05-12,93.76800,93.99900,93.48500,93.76800
2024-05-09,93.78200,93.89700,93.64300,93.78200
2024-05-08,93.30200,93.72000,93.16900,93.30200
2024-05-07,92.79100,93.32500,92.73300,92.79100
2024-05-06,92.68100,92.96600,92.47600,92.68100
2024-05-05,92.24200,92.61400,92.09600,92.24200
2024-05-02,91.26100,92.05100,91.18400,91.26100
2024-05-01,92.35902,92.53870,91.18000,92.35902
2024-04-30,92.71000,93.12200,92.65400,92.71000
2024-04-29,93.33100,93.62000,92.95800,93.33100
2024-04-28,94.08000,95.19500,92.19100,94.08000
2024-04-25,92.69600,93.60600,92.53600,92.69600
2024-04-24,92.14600,92.83500,92.03300,92.14600
2024-04-23,91.85200,92.11100,91.70200,91.85200
2024-04-22,91.63900,91.99400,91.37700,91.63900
2024-04-21,91.21800,91.67900,91.20200,91.22800
2024-04-18,91.25800,91.25300,89.96600,91.25800
2024-04-17,91.25000,91.60100,91.02500,91.25000
2024-04-16,91.13400,91.43100,91.12200,91.13400
2024-04-15,91.01100,91.15200,90.64100,91.01100
2024-04-14,91.12200,91.59600,91.01300,91.12200
2024-04-11,91.92100,92.00300,90.72400,91.92100
2024-04-10,91.37600,91.95500,91.28100,91.37600
2024-04-09,92.05000,92.26900,91.38300,92.05000
2024-04-08,91.61400,92.17400,91.61100,91.61400
2024-04-07,91.06800,91.62900,91.01500,91.06800
2024-04-04,91.18280,91.25300,90.78800,91.18280
2024-04-03,91.15700,91.69600,91.13800,91.15700
2024-04-02,90.45100,90.99600,90.23300,90.45100
2024-04-01,90.21200,90.47400,90.01300,90.21200
2024-03-31,90.61000,90.69600,90.13100,90.61000
2024-03-28,90.43600,90.55000,90.29000,90.43600
2024-03-27,90.61600,90.79100,89.98800,90.61600
2024-03-26,90.96100,91.11000,90.61000,90.96100
2024-03-25,90.83200,91.24000,90.75275,90.83200
2024-03-24,90.62300,90.92500,90.60600,90.62300
2024-03-21,91.67200,91.75600,90.72600,91.67200
2024-03-20,91.79400,92.19000,91.57700,91.79400
2024-03-19,91.34700,91.63900,91.31900,91.34700
2024-03-18,90.70600,91.27300,90.49400,90.70600
2024-03-17,90.65500,90.97500,90.63600,90.65500
2024-03-14,90.81600,90.83400,90.37000,90.81600
2024-03-13,90.99400,91.20200,90.78400,90.99400
2024-03-12,90.76400,91.11400,90.53000,90.76400
2024-03-11,90.53100,91.04100,90.48000,90.53100
2024-03-10,90.68351,90.80900,90.44100,90.68351
2024-03-07,91.35100,91.40200,90.82800,91.35100
2024-03-06,91.45400,91.47000,90.94500,91.45400
2024-03-05,91.33100,91.65000,90.72000,91.33100
2024-03-04,91.71900,91.70000,90.94900,91.71900
2024-03-03,91.60800,91.82000,91.51200,91.60800
2024-02-29,91.33300,91.76200,91.34700,91.33300
2024-02-28,91.84500,91.84500,91.05400,91.80900
2024-02-27,92.84200,92.92700,91.67900,92.84200
2024-02-26,92.83900,92.88700,92.57200,92.81800
2024-02-25,93.07400,93.13200,92.66000,93.09700
2024-02-22,93.21354,93.43900,93.06300,93.21354
2024-02-21,92.91000,93.35200,92.86900,92.91000
2024-02-20,92.47200,92.98200,92.46000,92.47200
2024-02-19,92.28900,92.79500,92.16200,92.28900
2024-02-18,92.09800,92.25300,91.96600,92.08800
2024-02-15,91.62100,91.96700,91.44500,91.62100
2024-02-14,91.67600,91.82100,91.04500,91.67600
2024-02-13,91.28900,91.64000,91.13500,91.28900
2024-02-12,91.53900,91.55600,91.07400,91.55500
2024-02-11,91.68900,91.74200,91.24100,91.68900
2024-02-08,91.14800,91.82000,91.14700,91.14800
2024-02-07,90.46000,90.97700,90.45000,90.46000
2024-02-06,90.15200,90.68800,90.08900,90.15200
2024-02-05,89.95800,90.21500,89.56800,89.95800
2024-02-04,90.03000,90.25900,89.77300,90.03000
2024-02-01,89.97000,90.33000,89.89000,89.97000
2024-01-31,89.82900,89.99500,89.26700,89.82900
2024-01-30,90.35000,90.70200,89.80274,90.35000
2024-01-29,90.45500,90.57300,89.98400,90.45500
2024-01-28,90.24200,90.50600,90.17500,90.24200
2024-01-25,90.22400,90.40900,90.05500,90.22400
2024-01-24,90.13100,90.43200,90.08400,90.13100
2024-01-23,90.46400,90.54900,89.84800,90.46400
