,Open,High,Low,Close
2024-06-13,1.37200,1.37633,1.37100,1.37383
2024-06-12,1.37165,1.37286,1.37130,1.37279
2024-06-09,1.37590,1.37814,1.37530,1.37590
2024-06-06,1.36682,1.37569,1.36557,1.36682
2024-06-05,1.36900,1.37097,1.36660,1.36900
2024-06-04,1.36762,1.37404,1.36650,1.36762
2024-06-03,1.36287,1.36984,1.36205,1.36287
2024-06-02,1.36189,1.36673,1.36029,1.36189
2024-05-30,1.36833,1.36889,1.36199,1.36833
2024-05-29,1.37170,1.37339,1.36580,1.37170
2024-05-28,1.36460,1.37121,1.36465,1.36460
2024-05-27,1.36289,1.36487,1.36130,1.36289
2024-05-26,1.36660,1.36702,1.36300,1.36660
2024-05-23,1.37321,1.37380,1.36560,1.37321
2024-05-22,1.36890,1.37042,1.36569,1.36890
2024-05-21,1.36403,1.36781,1.36240,1.36403
2024-05-20,1.36210,1.36710,1.36151,1.36210
2024-05-19,1.36079,1.36344,1.35964,1.36079
2024-05-16,1.36146,1.36432,1.36010,1.36146
2024-05-15,1.35970,1.36403,1.35896,1.35970
2024-05-14,1.36528,1.36603,1.35951,1.36528
2024-05-13,1.36657,1.36842,1.36328,1.36657
2024-05-12,1.36770,1.36892,1.36611,1.36770
2024-05-09,1.36778,1.36896,1.36354,1.36778
2024-05-08,1.37272,1.37377,1.36804,1.37272
2024-05-07,1.37332,1.37618,1.37170,1.37332
2024-05-06,1.36709,1.37166,1.36600,1.36709
2024-05-05,1.36915,1.36968,1.36470,1.36915
2024-05-02,1.36662,1.36903,1.36098,1.36662
2024-05-01,1.37230,1.37354,1.36960,1.37230
2024-04-30,1.37770,1.37822,1.37530,1.37770
2024-04-29,1.36667,1.37541,1.36620,1.36667
2024-04-28,1.36559,1.36754,1.36316,1.36559
2024-04-25,1.36580,1.36941,1.36366,1.36580
2024-04-24,1.37042,1.37299,1.36640,1.37042
2024-04-23,1.36606,1.37287,1.36540,1.36606
2024-04-22,1.37005,1.37135,1.36568,1.37005
2024-04-21,1.37380,1.37490,1.37100,1.37390
2024-04-18,1.37693,1.38026,1.37250,1.37693
2024-04-17,1.37718,1.37747,1.37266,1.37718
2024-04-16,1.38188,1.38357,1.37828,1.38188
2024-04-15,1.37863,1.38455,1.37730,1.37863
2024-04-14,1.37580,1.37801,1.37254,1.37580
2024-04-11,1.36869,1.37709,1.36821,1.36869
2024-04-10,1.36870,1.37255,1.36620,1.36870
2024-04-09,1.35729,1.36947,1.35574,1.35729
2024-04-08,1.35708,1.35984,1.35472,1.35708
2024-04-07,1.36041,1.36163,1.35699,1.36041
2024-04-04,1.35445,1.36466,1.35400,1.35445
2024-04-03,1.35238,1.35275,1.34780,1.35238
2024-04-02,1.35643,1.35884,1.35125,1.35643
2024-04-01,1.35737,1.35844,1.35565,1.35737
2024-03-31,1.35219,1.35845,1.35150,1.35219
2024-03-28,1.35360,1.35545,1.35330,1.35360
2024-03-27,1.35860,1.36128,1.35313,1.35860
2024-03-26,1.35810,1.36077,1.35728,1.35810
2024-03-25,1.35846,1.35890,1.35525,1.35846
2024-03-24,1.36115,1.36132,1.35711,1.36115
2024-03-21,1.35270,1.36059,1.35180,1.35270
2024-03-20,1.34719,1.35408,1.34574,1.34719
2024-03-19,1.35731,1.36046,1.35634,1.35731
2024-03-18,1.35348,1.36121,1.35330,1.35348
2024-03-17,1.35461,1.35504,1.35200,1.35461
2024-03-14,1.35377,1.35491,1.35100,1.35377
2024-03-13,1.34663,1.35339,1.34590,1.34663
2024-03-12,1.34931,1.34981,1.34600,1.34931
2024-03-11,1.34775,1.35243,1.34650,1.34775
2024-03-10,1.34845,1.35089,1.34690,1.34845
2024-03-07,1.34520,1.34765,1.34227,1.34520
2024-03-06,1.35127,1.35251,1.34634,1.35127
2024-03-05,1.35900,1.35995,1.35058,1.35900
2024-03-04,1.35720,1.36046,1.35568,1.35720
2024-03-03,1.35524,1.35827,1.35440,1.35524
2024-02-29,1.35737,1.35998,1.35456,1.35737
2024-02-28,1.35775,1.35973,1.35421,1.35775
2024-02-27,1.35317,1.36045,1.35260,1.35317
2024-02-26,1.35013,1.35363,1.34849,1.35013
2024-02-25,1.35103,1.35280,1.35000,1.35072
2024-02-22,1.34814,1.35161,1.34590,1.34814
2024-02-21,1.34970,1.35070,1.34398,1.34970
2024-02-20,1.35219,1.35353,1.35015,1.35219
2024-02-19,1.34980,1.35294,1.34723,1.34980
2024-02-18,1.34775,1.34956,1.34660,1.34778
2024-02-15,1.34653,1.35057,1.34630,1.34653
2024-02-14,1.35387,1.35506,1.34769,1.35387
2024-02-13,1.35658,1.35713,1.35300,1.35658
2024-02-12,1.34553,1.35759,1.34354,1.34553
2024-02-11,1.34578,1.34746,1.34360,1.34578
2024-02-08,1.34600,1.34804,1.34142,1.34600
2024-02-07,1.34640,1.34912,1.34470,1.34640
2024-02-06,1.34893,1.34930,1.34551,1.34893
2024-02-05,1.35430,1.35432,1.34989,1.35430
2024-02-04,1.34701,1.35434,1.34650,1.34701
2024-02-01,1.33830,1.34750,1.33640,1.33830
2024-01-31,1.34355,1.34627,1.33780,1.34355
2024-01-30,1.34017,1.34361,1.33595,1.34017
2024-01-29,1.34114,1.34454,1.33970,1.34114
2024-01-28,1.34540,1.34646,1.34250,1.34540
2024-01-25,1.34777,1.34827,1.34154,1.34777
2024-01-24,1.35254,1.35338,1.34874,1.35254
2024-01-23,1.34560,1.34942,1.34294,1.34560
