,Open,High,Low,Close
2024-06-13,89.00940,91.72600,85.60000,88.35100
2024-06-12,88.99260,89.37540,88.96990,89.36840
2024-06-09,88.83425,89.38183,88.74909,88.83425
2024-06-06,89.32043,89.42088,88.78447,89.32049
2024-06-05,89.04632,89.20116,88.44347,89.04549
2024-06-04,88.94222,89.10402,88.94016,88.53000
2024-06-03,89.32000,89.32000,89.32000,89.32000
2024-06-02,90.42000,90.42000,90.42000,90.42000
2024-05-30,90.41000,90.45000,90.41000,89.57000
2024-05-29,89.57000,89.57000,89.57000,89.57000
2024-05-28,88.57000,88.57000,88.57000,91.62000
2024-05-27,91.62000,91.62000,91.62000,91.62000
2024-05-26,91.62000,91.62000,91.62000,91.62000
2024-05-23,91.62000,91.62000,91.62000,91.62000
2024-05-22,90.32000,90.32000,90.19000,90.32000
2024-05-21,90.32000,90.32000,90.32000,90.32000
2024-05-20,90.29000,90.29000,90.29000,90.29000
2024-05-19,90.87000,90.87000,90.87000,90.74500
2024-05-16,90.87000,90.87000,90.87000,90.74500
2024-05-15,90.74500,90.74500,90.74500,90.74500
2024-05-14,91.32000,91.32000,91.32000,91.32000
2024-05-13,91.62000,91.62000,91.62000,91.62000
2024-05-12,91.62000,91.62000,91.62000,91.62000
2024-05-09,91.62000,91.62000,91.62000,91.62000
2024-05-08,91.28000,91.62000,91.28000,91.28000
2024-05-07,91.07000,91.28000,91.07000,91.07000
2024-05-06,91.07000,91.07000,91.07000,91.07000
2024-05-05,92.49000,92.49000,90.67000,93.26000
2024-05-02,92.49000,92.49000,92.49000,93.26000
2024-05-01,93.26000,93.26000,93.26000,93.26000
2024-04-30,93.42000,93.42000,93.42000,93.42000
2024-04-29,93.42000,93.42000,93.42000,93.42000
2024-04-28,92.27000,92.27000,92.27000,92.27000
2024-04-25,92.27000,92.27000,92.27000,92.27000
2024-04-24,92.27000,92.27000,92.27000,93.47000
2024-04-23,93.47000,93.47000,93.47000,93.02000
2024-04-22,93.47000,93.47000,93.47000,93.02000
2024-04-21,93.70000,93.70000,93.20000,93.70000
2024-04-18,93.70000,93.70000,93.70000,93.70000
2024-04-17,94.14000,94.14000,94.14000,94.14000
2024-04-16,94.14000,94.14000,94.14000,93.30000
2024-04-15,93.30000,93.30000,93.30000,93.30000
2024-04-14,93.30000,93.30000,93.30000,93.30000
2024-04-11,92.89000,92.89000,92.89000,92.89000
2024-04-10,92.89000,92.89000,92.89000,92.89000
2024-04-09,92.62000,92.89000,92.62000,92.62000
2024-04-08,92.62000,92.62000,92.62000,92.62000
2024-04-07,92.57000,92.57000,92.57000,92.57000
2024-04-04,92.45000,92.45000,92.45000,92.45000
2024-04-03,92.45000,92.45000,92.45000,92.45000
2024-04-02,92.45000,92.45000,92.45000,92.28000
2024-04-01,92.28000,92.28000,92.28000,92.28000
2024-03-31,92.57000,92.57000,92.57000,92.57000
2024-03-28,92.44000,92.44000,92.44000,92.44000
2024-03-27,92.44000,92.44000,92.44000,92.44000
2024-03-26,92.47000,92.47000,92.47000,92.47000
2024-03-25,92.47500,92.47500,92.47500,92.47500
2024-03-24,92.12000,92.47500,92.12000,92.12000
2024-03-21,92.35000,92.35000,92.35000,92.35000
2024-03-20,92.24000,92.35000,92.24000,91.44000
2024-03-19,92.24000,92.24000,92.24000,91.44000
2024-03-18,92.52000,92.52000,91.44000,92.52000
2024-03-17,92.52000,92.52000,92.52000,92.52000
2024-03-14,91.62000,91.62000,91.62000,91.34000
2024-03-13,91.34000,91.34000,91.34000,91.34000
2024-03-12,91.72000,91.72000,91.72000,91.72000
2024-03-11,90.49000,90.49000,90.49000,90.49000
2024-03-10,90.94000,90.94000,90.94000,90.94000
2024-03-07,90.64000,90.64000,90.64000,90.81000
2024-03-06,90.81000,90.81000,90.81000,90.81000
2024-03-05,90.81000,90.81000,90.81000,91.61000
2024-03-04,91.49000,91.61000,91.49000,91.49000
2024-03-03,91.49000,91.61000,91.49000,91.49000
2024-02-29,91.49000,91.49000,91.49000,91.49000
2024-02-28,91.87000,92.04000,91.87000,91.87000
2024-02-27,91.87000,92.04000,91.87000,91.87000
2024-02-26,91.87000,91.87000,91.87000,91.87000
2024-02-25,93.04000,93.04000,93.04000,93.04000
2024-02-22,93.04000,93.04000,93.04000,93.04000
2024-02-21,92.10000,92.10000,91.99000,92.10000
2024-02-20,92.10000,92.10000,92.10000,92.10000
2024-02-19,92.47000,92.47000,92.47000,92.47000
2024-02-18,92.27000,92.47000,92.27000,92.27000
2024-02-15,92.27000,92.27000,92.27000,92.27000
2024-02-14,91.64000,91.64000,91.64000,91.64000
2024-02-13,91.50000,91.50000,91.50000,91.50000
2024-02-12,91.37000,91.37000,91.34000,91.37000
2024-02-11,91.37000,91.37000,91.37000,91.37000
2024-02-08,91.17000,91.17000,91.17000,91.17000
2024-02-07,91.60000,91.60000,91.60000,90.51000
2024-02-06,90.51000,90.51000,90.51000,90.51000
2024-02-05,90.99000,90.99000,90.99000,90.99000
2024-02-04,90.99000,90.99000,90.99000,90.99000
2024-02-01,90.41000,90.41000,90.41000,90.41000
2024-01-31,89.98000,89.98000,89.98000,89.98000
2024-01-30,89.74000,89.74000,89.74000,89.74000
2024-01-29,89.27000,89.27000,89.27000,89.27000
2024-01-28,88.99000,88.99000,88.99000,88.00000
2024-01-25,88.99000,88.99000,88.99000,88.00000
2024-01-24,88.69000,88.69000,88.69000,88.69000
2024-01-23,87.99000,88.86000,87.99000,87.99000
